scenario_id,road_environment,road_type,weather,lighting,vehicle_speed,true_depth,water_depth,true_ntu,ntu,severity,lidar,lidar_error,R_lidar,ultrasonic,ultrasonic_error,surface_echo,bottom_echo,R_ultrasonic,radar,radar_error,snr,rcs,clutter_probability,R_radar,imu_pitch,imu_roll,imu_acceleration,R_imu,water_state,R_water,water_contact
SC022,Urban,Asphalt,Cloudy,Night_Streetlights,11.64,10,4,158,158.3,Moderate,11.33,1.33,0.5750605151404482,5.94,-4.06,0.28,0.72,0.6259379294871402,10.05,0.05,25.15,0.8521437889662113,0.162,0.9492470005849011,-1.386,-0.266,9.943,0.97,Flooded Pothole,0.95,True
SC023,Urban,Mud,Mist,Dusk,11.0,17,11,136,130.16,Severe,18.01,1.01,0.4239007208949339,17.11,0.11,0.42,0.58,0.4701388626627085,17.19,0.19,15.44,0.6440364210831414,0.296,0.7393095998306844,4.36,3.361,9.473,0.941,Flooded Pothole,0.95,True
SC024,Urban,Dirt,Cloudy,Daylight,7.88,7,5,55,62.01,Moderate,6.75,-0.25,0.6381282481048505,7.09,0.09,0.3,0.7,0.6024955834975404,7.36,0.36,22.51,0.8187307530779818,0.162,0.9343537474218082,0.731,2.208,10.262,0.959,Flooded Pothole,0.95,True
SC025,Urban,Concrete,Clear,Dawn,11.05,6,1,8,5.17,Low,6.15,0.15,0.8536175664105339,5.92,-0.08,0.22,0.78,0.42381367787810986,5.83,-0.17,28.9,0.9607894391523232,0.071,0.9867591552745353,4.411,1.818,9.694,0.97,Shallow Puddle,0.9,True
SC026,Urban,Gravel,Foggy,Daylight,4.14,13,10,224,218.69,Severe,13.67,0.67,0.38677815237491253,12.86,-0.14,0.4,0.6,0.49123845184678905,13.38,0.38,16.83,0.6703200460356393,0.294,0.8098784604681448,-0.19,0.259,9.98,0.977,Flooded Pothole,0.95,True
SC027,Rural,Concrete,Cloudy,Night_Streetlights,2.97,18,6,74,72.39,Moderate,18.62,0.62,0.5970084569168509,11.63,-6.37,0.32,0.68,0.5794577764970238,18.04,0.04,24.76,0.7866278610665535,0.184,0.9260822822531838,1.625,4.678,9.337,0.981,Flooded Pothole,0.95,True
SC028,Rural,Dirt,Rainy,Night_Streetlights,8.53,19,1,292,283.96,Moderate,19.21,0.21,0.5464371404666621,19.04,0.04,0.22,0.78,0.42381367787810986,19.13,0.13,26.94,0.9607894391523232,0.127,0.9854705432990456,-2.168,2.973,9.187,0.934,Shallow Puddle,0.9,True
SC029,Urban,Asphalt,Rainy,Dusk,3.9,8,3,169,162.4,Moderate,8.43,0.43,0.6005916657916293,5.09,-2.91,0.26,0.74,0.6497906188812154,8.04,0.04,26.92,0.8869204367171575,0.142,0.9618400501090403,4.484,2.081,10.328,0.981,Flooded Pothole,0.95,True
SC030,Urban,Dirt,Rainy,Daylight,10.74,13,7,183,179.6,Moderate,13.44,0.44,0.47837516036867794,13.04,0.04,0.34,0.66,0.5568187789536133,12.85,-0.15,24.4,0.7557837414557255,0.226,0.9139969872760079,5.004,2.5,9.67,0.945,Flooded Pothole,0.95,True
SC031,Rural,Asphalt,Thunderstorm,Night_Dark,11.99,8,0,416,418.37,Moderate,7.33,-0.67,0.46329466585373946,8.1,0.1,0.0,1.0,1.0,7.82,-0.18,31.18,1.0,0.134,0.9977445962908992,-1.278,2.849,9.431,0.959,Dry,0.98,False
SC032,Urban,Asphalt,Thunderstorm,Daylight,6.81,10,6,374,379.79,Severe,9.72,-0.28,0.3650707896346028,10.14,0.14,0.32,0.68,0.5794577764970238,10.1,0.1,24.03,0.7866278610665535,0.246,0.924285891453501,-1.108,3.839,9.551,0.978,Flooded Pothole,0.95,True
SC033,Urban,Dirt,Cloudy,Night_Streetlights,11.27,5,3,117,126.48,Low,5.11,0.11,0.6361200344741567,4.89,-0.11,0.26,0.74,0.6497906188812154,4.86,-0.14,25.18,0.8869204367171575,0.135,0.9611927380564638,-1.432,0.029,9.519,0.945,Shallow Puddle,0.9,True
SC034,Rural,Dirt,Rainy,Night_Dark,4.97,20,4,168,167.61,Moderate,20.39,0.39,0.5665578984167398,20.04,0.04,0.28,0.72,0.6259379294871402,20.14,0.14,25.22,0.8521437889662113,0.164,0.9492578124061101,1.226,0.181,10.616,0.958,Flooded Pothole,0.95,True
SC035,Urban,Asphalt,Mist,Dusk,6.77,6,0,154,161.27,Low,5.9,-0.1,0.699050705026047,6.41,0.41,0.0,1.0,1.0,6.08,0.08,28.71,1.0,0.082,0.9984687460015059,2.631,0.172,10.313,0.974,Dry,0.98,False
SC036,Urban,Mud,Clear,Night_Dark,7.95,7,2,8,2.65,Low,7.3,0.3,0.8152666837016452,6.97,-0.03,0.24,0.76,0.6740595319050396,7.09,0.09,28.31,0.9231163463866358,0.091,0.9745932635653377,-1.422,1.779,10.378,0.948,Shallow Puddle,0.9,True
SC037,Rural,Concrete,Clear,Night_Dark,2.4,12,9,76,75.64,Moderate,11.98,-0.02,0.5111848563940056,11.77,-0.23,0.38,0.62,0.5127146630448847,11.91,-0.09,20.48,0.697676326071031,0.245,0.8811037829599896,2.936,0.958,9.39,0.985,Flooded Pothole,0.95,True
SC038,Rural,Asphalt,Mist,Night_Dark,8.7,15,8,106,107.07,Moderate,14.76,-0.24,0.5110376563531874,15.03,0.03,0.36,0.64,0.5345729353032141,15.08,0.08,19.07,0.7261490370736909,0.231,0.8792023566739987,0.33,2.881,10.045,0.972,Flooded Pothole,0.95,True
SC039,Urban,Gravel,Drizzle,Night_Streetlights,5.16,9,4,197,197.77,Moderate,9.27,0.27,0.5398672516083278,4.66,-4.34,0.28,0.72,0.6259379294871402,9.06,0.06,26.04,0.8521437889662113,0.17,0.9495829559443899,0.766,-0.027,10.117,0.971,Flooded Pothole,0.95,True
SC040,Urban,Asphalt,Rainy,Night_Dark,4.13,8,1,257,262.42,Moderate,8.61,0.61,0.5655978305886727,7.79,-0.21,0.22,0.78,0.42381367787810986,7.85,-0.15,29.57,0.9607894391523232,0.122,0.9859675572353854,4.339,2.027,9.898,0.979,Shallow Puddle,0.9,True
SC041,Urban,Gravel,Drizzle,Dawn,3.58,12,5,152,154.57,Moderate,12.5,0.5,0.5502888262259508,8.16,-3.84,0.3,0.7,0.6024955834975404,12.1,0.1,25.7,0.8187307530779818,0.181,0.9379098426123579,-1.027,2.982,10.043,0.975,Flooded Pothole,0.95,True
SC042,Rural,Mud,Foggy,Night_Dark,4.99,5,5,241,245.77,Moderate,5.62,0.62,0.47557437258760016,4.95,-0.05,0.3,0.7,0.6024955834975404,5.15,0.15,22.84,0.8187307530779818,0.199,0.9344489261261935,1.856,0.684,9.968,0.965,Flooded Pothole,0.95,True
SC043,Urban,Asphalt,Drizzle,Dawn,4.72,8,8,119,117.82,Moderate,8.11,0.11,0.5023229698131696,8.01,0.01,0.36,0.64,0.5345729353032141,8.47,0.47,17.6,0.7261490370736909,0.234,0.8529193910941543,3.372,0.093,9.999,0.984,Flooded Pothole,0.95,True
SC044,Urban,Mud,Mist,Dusk,10.53,11,10,161,164.43,Severe,10.48,-0.52,0.42185737331503254,10.93,-0.07,0.4,0.6,0.49123845184678905,11.66,0.66,16.38,0.6703200460356393,0.283,0.7936355754079749,1.758,2.55,10.047,0.948,Flooded Pothole,0.95,True
SC045,Rural,Mud,Drizzle,Dawn,2.44,7,6,150,146.42,Moderate,7.61,0.61,0.5303214218158121,6.89,-0.11,0.32,0.68,0.5794577764970238,7.04,0.04,22.87,0.7866278610665535,0.199,0.9233631431360932,-0.577,0.487,9.957,0.976,Flooded Pothole,0.95,True
SC046,Urban,Gravel,Mist,Dusk,9.06,10,7,150,146.74,Moderate,11.36,1.36,0.5041991248246773,3.19,-6.81,0.34,0.66,0.5568187789536133,9.6,-0.4,21.88,0.7557837414557255,0.219,0.9094696780854562,2.452,0.056,9.928,0.962,Flooded Pothole,0.95,True
SC047,Urban,Mud,Clear,Dawn,10.35,9,8,4,0.69,Moderate,9.64,0.64,0.6058614193529627,0.76,-8.24,0.36,0.64,0.5345729353032141,8.98,-0.02,21.16,0.7261490370736909,0.21,0.8960190775088278,2.938,-0.436,9.594,0.949,Flooded Pothole,0.95,True
SC048,Urban,Mud,Rainy,Daylight,10.99,6,2,213,217.33,Moderate,5.62,-0.38,0.5782621305809041,5.95,-0.05,0.24,0.76,0.6740595319050396,5.92,-0.08,26.62,0.9231163463866358,0.133,0.9735165363224321,-1.715,0.982,10.14,0.934,Shallow Puddle,0.9,True
SC049,Rural,Asphalt,Cloudy,Daylight,11.74,8,5,154,162.83,Moderate,8.46,0.46,0.5430640555410645,7.81,-0.19,0.3,0.7,0.6024955834975404,8.17,0.17,27.18,0.8187307530779818,0.183,0.9383941766497711,0.788,2.056,9.503,0.967,Flooded Pothole,0.95,True
SC050,Urban,Concrete,Thunderstorm,Daylight,3.79,10,6,256,261.16,Moderate,9.41,-0.59,0.4413769529711075,9.93,-0.07,0.32,0.68,0.5794577764970238,10.27,0.27,21.74,0.7866278610665535,0.222,0.9199216336731109,4.527,-0.249,9.626,0.983,Flooded Pothole,0.95,True
SC051,Rural,Gravel,Thunderstorm,Daylight,9.01,13,2,451,453.22,Moderate,13.67,0.67,0.3964711508797923,12.86,-0.14,0.24,0.76,0.6740595319050396,12.99,-0.01,22.74,0.9231163463866358,0.181,0.9688108468105434,-1.212,4.487,9.963,0.945,Shallow Puddle,0.9,True
SC052,Urban,Dirt,Thunderstorm,Night_Streetlights,11.18,12,3,459,453.88,Severe,12.04,0.04,0.3767369803008788,8.63,-3.37,0.26,0.74,0.6497906188812154,12.36,0.36,24.25,0.8869204367171575,0.201,0.9592495389867038,0.324,3.63,9.066,0.938,Shallow Puddle,0.9,True
SC053,Rural,Gravel,Thunderstorm,Daylight,3.93,12,0,418,415.8,Moderate,12.07,0.07,0.4652036557130283,12.22,0.22,0.0,1.0,1.0,11.74,-0.26,31.74,1.0,0.133,0.9977788945643569,5.059,3.473,9.896,0.966,Dry,0.98,False
SC054,Rural,Gravel,Thunderstorm,Dawn,7.09,13,5,414,414.05,Severe,12.58,-0.42,0.36331683562306083,13.07,0.07,0.3,0.7,0.6024955834975404,13.05,0.05,23.1,0.8187307530779818,0.233,0.9343374006721825,4.736,0.579,10.156,0.957,Flooded Pothole,0.95,True
SC055,Rural,Mud,Clear,Dawn,11.63,13,2,74,74.35,Low,13.04,0.04,0.7269046249098187,13.02,0.02,0.24,0.76,0.6740595319050396,13.73,0.73,25.74,0.9231163463866358,0.105,0.973630722593931,0.962,2.35,8.755,0.909,Shallow Puddle,0.9,True
SC056,Urban,Gravel,Clear,Night_Dark,9.86,18,11,93,103.67,Severe,17.41,-0.59,0.44225351410691804,17.98,-0.02,0.42,0.58,0.4701388626627085,18.58,0.58,15.87,0.6440364210831414,0.291,0.7617680696075727,1.304,-0.151,9.234,0.958,Flooded Pothole,0.95,True
SC057,Urban,Dirt,Rainy,Night_Dark,9.09,11,4,131,129.96,Moderate,11.03,0.03,0.6017362816518054,10.91,-0.09,0.28,0.72,0.6259379294871402,11.14,0.14,25.74,0.8521437889662113,0.156,0.9496884755745246,1.259,0.517,9.431,0.949,Flooded Pothole,0.95,True
SC058,Urban,Asphalt,Drizzle,Night_Streetlights,8.63,7,5,160,156.54,Moderate,7.68,0.68,0.5485570465642174,2.09,-4.91,0.3,0.7,0.6024955834975404,7.15,0.15,24.94,0.8187307530779818,0.181,0.937451193022953,-0.401,2.35,9.852,0.977,Flooded Pothole,0.95,True
SC059,Rural,Asphalt,Foggy,Dusk,8.97,18,10,203,198.86,Severe,18.04,0.04,0.3992466031503412,8.22,-9.78,0.4,0.6,0.49123845184678905,18.54,0.54,18.18,0.6703200460356393,0.29,0.8439282871805663,-2.138,2.268,10.112,0.971,Flooded Pothole,0.95,True
SC060,Urban,Mud,Cloudy,Night_Streetlights,6.06,17,5,127,133.39,Moderate,17.01,0.01,0.5692565885594235,12.16,-4.84,0.3,0.7,0.6024955834975404,16.96,-0.04,23.67,0.8187307530779818,0.177,0.9362362792138869,8.808,5.584,9.846,0.957,Flooded Pothole,0.95,True
SC061,Rural,Asphalt,Drizzle,Daylight,6.65,18,18,162,167.49,Extreme,19.1,1.1,0.2813983493973811,18.12,0.12,0.56,0.44,0.3325448462405192,18.41,0.41,8.43,0.4867522559599717,0.3,0.1151501079308801,-1.971,1.365,10.157,0.979,Flooded Pothole,0.95,True
SC062,Urban,Dirt,Foggy,Night_Streetlights,4.84,10,10,121,124.41,Moderate,10.22,0.22,0.44975333092896935,10.05,0.05,0.4,0.6,0.49123845184678905,9.97,-0.03,18.15,0.6703200460356393,0.275,0.8436347805690009,3.063,1.976,10.046,0.974,Flooded Pothole,0.95,True
SC063,Rural,Mud,Clear,Daylight,3.47,14,3,25,27.98,Low,13.95,-0.05,0.744704338832585,14.31,0.31,0.26,0.74,0.6497906188812154,13.86,-0.14,24.58,0.8869204367171575,0.116,0.9610512006192143,7.2,1.042,10.058,0.963,Flooded Pothole,0.95,True
SC064,Urban,Asphalt,Rainy,Night_Dark,10.86,7,7,226,231.79,Moderate,7.77,0.77,0.44005128589940606,0.19,-6.81,0.34,0.66,0.5568187789536133,7.53,0.53,20.25,0.7557837414557255,0.236,0.901107189640191,1.289,1.719,10.285,0.977,Flooded Pothole,0.95,True
SC065,Urban,Mud,Mist,Night_Streetlights,3.48,20,12,111,111.38,Severe,20.05,0.05,0.4155268690460263,8.29,-11.71,0.44,0.56,0.449410526858988,19.96,-0.04,14.36,0.6187833918061408,0.3,0.6587920994399266,1.816,4.572,9.425,0.972,Flooded Pothole,0.95,True
SC066,Urban,Asphalt,Thunderstorm,Night_Streetlights,11.58,12,2,455,453.39,Moderate,12.44,0.44,0.39636332539168423,9.83,-2.17,0.24,0.76,0.6740595319050396,11.83,-0.17,27.97,0.9231163463866358,0.181,0.97298848550861,4.043,1.754,9.422,0.967,Shallow Puddle,0.9,True
SC067,Rural,Mud,Clear,Night_Dark,3.33,12,1,58,59.22,Low,11.96,-0.04,0.782898673039072,10.86,-1.14,0.22,0.78,0.42381367787810986,12.03,0.03,26.63,0.9607894391523232,0.082,0.9861345258643883,5.982,2.677,9.777,0.963,Shallow Puddle,0.9,True
SC068,Rural,Dirt,Thunderstorm,Night_Streetlights,10.97,18,17,364,356.96,Extreme,17.81,-0.19,0.2184635713186211,17.97,-0.03,0.54,0.46,0.3511545673949525,18.11,0.11,11.81,0.5066169923655895,0.3,0.3862870717110695,4.399,2.88,10.465,0.942,Flooded Pothole,0.95,True
SC069,Rural,Dirt,Drizzle,Daylight,6.85,13,12,213,217.29,Severe,13.31,0.31,0.35075615922392583,0.99,-12.01,0.44,0.56,0.449410526858988,12.74,-0.26,15.57,0.6187833918061408,0.3,0.737478225898773,3.33,4.065,9.639,0.959,Flooded Pothole,0.95,True
SC070,Rural,Concrete,Rainy,Dawn,5.36,14,3,189,187.56,Moderate,14.35,0.35,0.5768944258571898,13.88,-0.12,0.26,0.74,0.6497906188812154,14.09,0.09,28.7,0.8869204367171575,0.148,0.9620629589197264,2.147,3.825,9.244,0.976,Flooded Pothole,0.95,True
SC071,Urban,Mud,Cloudy,Daylight,9.06,12,6,89,88.46,Moderate,12.46,0.46,0.5818538381443206,12.1,0.1,0.32,0.68,0.5794577764970238,11.93,-0.07,23.14,0.7866278610665535,0.188,0.9240615319883373,3.982,3.505,9.853,0.946,Flooded Pothole,0.95,True
SC072,Rural,Asphalt,Rainy,Dusk,4.07,19,13,135,135.06,Extreme,19.49,0.49,0.38056587089040733,5.77,-13.23,0.46,0.54,0.4290481453518004,19.01,0.01,15.15,0.5945205479701944,0.3,0.7050096454753667,4.426,1.779,10.316,0.981,Flooded Pothole,0.95,True
SC073,Rural,Dirt,Thunderstorm,Night_Dark,6.77,5,4,347,354.26,Moderate,5.83,0.83,0.4202876168713621,5.32,0.32,0.28,0.72,0.6259379294871402,4.84,-0.16,26.51,0.8521437889662113,0.201,0.9492099127166976,1.62,1.102,9.865,0.957,Flooded Pothole,0.95,True
SC074,Rural,Gravel,Thunderstorm,Night_Streetlights,9.35,18,17,441,441.92,Extreme,20.85,2.85,0.19069652287955852,17.88,-0.12,0.54,0.46,0.3511545673949525,17.7,-0.3,8.7,0.5066169923655895,0.3,0.130670808238697,7.918,2.971,9.742,0.957,Flooded Pothole,0.95,True
SC075,Urban,Mud,Rainy,Daylight,2.29,13,6,244,233.38,Moderate,13.0,0.0,0.4614378055468264,12.89,-0.11,0.32,0.68,0.5794577764970238,13.03,0.03,23.31,0.7866278610665535,0.217,0.9238369891240045,-0.147,-0.052,10.146,0.977,Flooded Pothole,0.95,True
SC076,Rural,Gravel,Mist,Daylight,7.34,19,4,159,168.38,Moderate,19.67,0.67,0.5658603288769593,18.91,-0.09,0.28,0.72,0.6259379294871402,18.84,-0.16,25.94,0.8521437889662113,0.164,0.9496439676322438,2.576,2.263,10.524,0.953,Flooded Pothole,0.95,True
SC077,Urban,Dirt,Clear,Night_Streetlights,2.5,9,7,23,16.4,Moderate,9.97,0.97,0.6211143969026792,9.18,0.18,0.34,0.66,0.5568187789536133,8.92,-0.08,19.03,0.7557837414557255,0.193,0.8899577036246789,2.126,2.682,9.621,0.98,Flooded Pothole,0.95,True
SC078,Rural,Dirt,Cloudy,Night_Streetlights,4.78,15,10,147,153.77,Severe,15.32,0.32,0.42911428368284577,15.19,0.19,0.4,0.6,0.49123845184678905,14.63,-0.37,17.1,0.6703200460356393,0.281,0.8185772349899852,1.344,4.73,9.043,0.965,Flooded Pothole,0.95,True
SC079,Rural,Dirt,Thunderstorm,Dawn,7.39,20,0,441,441.03,Moderate,20.03,0.03,0.4467983074296783,19.93,-0.07,0.0,1.0,1.0,20.36,0.36,29.79,1.0,0.138,0.9976053866180645,1.536,6.702,9.648,0.94,Dry,0.98,False
SC080,Urban,Gravel,Mist,Dawn,11.5,6,6,83,83.6,Moderate,6.5,0.5,0.5863959705132898,6.11,0.11,0.32,0.68,0.5794577764970238,5.8,-0.2,20.5,0.7866278610665535,0.187,0.914554620460937,0.569,2.37,9.593,0.96,Flooded Pothole,0.95,True
SC081,Urban,Concrete,Foggy,Daylight,8.69,12,2,221,227.39,Moderate,12.32,0.32,0.5690289314584553,9.78,-2.22,0.24,0.76,0.6740595319050396,12.26,0.26,27.77,0.9231163463866358,0.135,0.9737667219548191,4.611,-1.034,10.294,0.973,Shallow Puddle,0.9,True
SC082,Urban,Mud,Rainy,Dusk,8.07,16,5,275,280.9,Moderate,16.31,0.31,0.4495806588050622,16.31,0.31,0.3,0.7,0.6024955834975404,16.36,0.36,23.63,0.8187307530779818,0.206,0.9356701096896826,5.763,5.059,9.261,0.947,Flooded Pothole,0.95,True
SC083,Urban,Asphalt,Drizzle,Dawn,5.97,5,2,176,180.86,Low,5.44,0.44,0.6130087923502068,5.21,0.21,0.24,0.76,0.6740595319050396,4.85,-0.15,28.63,0.9231163463866358,0.126,0.9740491307826636,0.596,-0.211,9.84,0.978,Shallow Puddle,0.9,True
SC084,Urban,Concrete,Foggy,Daylight,9.96,8,4,130,135.29,Moderate,7.5,-0.5,0.5966264937456766,7.82,-0.18,0.28,0.72,0.6259379294871402,7.66,-0.34,24.8,0.8521437889662113,0.157,0.9490805187885616,0.902,0.802,9.952,0.975,Flooded Pothole,0.95,True
SC085,Urban,Mud,Drizzle,Night_Dark,7.06,18,11,97,100.59,Severe,19.16,1.16,0.4444383183605888,18.01,0.01,0.42,0.58,0.4701388626627085,18.37,0.37,14.73,0.6440364210831414,0.29,0.6944538979535477,5.656,2.136,10.065,0.957,Flooded Pothole,0.95,True
SC086,Urban,Gravel,Thunderstorm,Night_Streetlights,11.61,20,3,360,351.48,Severe,20.18,0.18,0.44380588859210734,20.06,0.06,0.26,0.74,0.6497906188812154,20.08,0.08,26.27,0.8869204367171575,0.18,0.960962054629291,2.68,6.288,10.267,0.945,Shallow Puddle,0.9,True
SC087,Urban,Dirt,Rainy,Daylight,9.75,13,9,257,250.48,Severe,13.79,0.79,0.3864441203738645,4.11,-8.89,0.38,0.62,0.5127146630448847,12.77,-0.23,18.43,0.697676326071031,0.28,0.8586844637030029,5.184,3.666,10.554,0.952,Flooded Pothole,0.95,True
SC088,Rural,Dirt,Thunderstorm,Night_Dark,4.45,13,5,468,462.7,Severe,13.22,0.22,0.33610892164119566,13.14,0.14,0.3,0.7,0.6024955834975404,12.76,-0.24,24.76,0.8187307530779818,0.243,0.936197328584759,4.334,3.732,10.199,0.963,Flooded Pothole,0.95,True
SC089,Rural,Asphalt,Rainy,Daylight,8.68,19,18,276,273.35,Extreme,18.82,-0.18,0.23755407433794415,18.98,-0.02,0.56,0.44,0.3325448462405192,18.65,-0.35,7.57,0.4867522559599717,0.3,0.0788666584836326,1.441,0.639,9.134,0.976,Flooded Pothole,0.95,True
SC090,Urban,Gravel,Rainy,Dusk,5.55,10,7,174,168.01,Moderate,11.31,1.31,0.48732891194400507,10.01,0.01,0.34,0.66,0.5568187789536133,9.86,-0.14,21.92,0.7557837414557255,0.224,0.9095092726203944,4.315,3.552,9.371,0.972,Flooded Pothole,0.95,True
