scenario_id,road_environment,road_type,weather,lighting,vehicle_speed,true_depth,water_depth,true_ntu,ntu,severity,lidar,lidar_error,R_lidar,ultrasonic,ultrasonic_error,surface_echo,bottom_echo,measurement_type,bottom_confidence,echo_ambiguity,R_ultrasonic,radar,radar_error,snr,rcs,clutter_probability,R_radar,imu_pitch,imu_roll,imu_acceleration,R_imu,water_state,R_water,water_contact,surface_sigma,bottom_sigma
SC011,Urban,Mud,Mist,Dusk,2.32,6.0,1.0,185.0,184.07,Low,5.4,-0.6,0.65,6.15,0.15,0.192,0.798,Bottom,0.728,0.394,0.679,6.2,0.2,28.69,0.9607894391523232,0.107,0.956,4.934,-0.387,9.294,0.974,Shallow Puddle,0.9,True,0.342,0.158
SC012,Rural,Gravel,Drizzle,Dawn,4.13,11.0,9.0,160.0,165.02,Moderate,11.48,0.48,0.41,6.12,-4.88,0.398,0.54,Surface,0.358,0.858,0.25,11.34,0.34,19.15,0.697676326071031,0.263,0.664,4.3,1.351,10.22,0.974,Flooded Pothole,0.95,True,0.438,0.217
SC013,Rural,Dirt,Mist,Night_Streetlights,4.47,9.0,4.0,97.0,104.82,Moderate,7.73,-1.27,0.632,8.19,-0.81,0.293,0.674,Mixed,0.545,0.618,0.41,9.01,0.01,22.22,0.8521437889662113,0.151,0.834,-0.19,-0.412,9.58,0.963,Flooded Pothole,0.95,True,0.378,0.18
SC014,Rural,Mud,Mist,Night_Dark,5.62,18.0,18.0,131.0,129.9,Extreme,18.82,0.82,0.25,10.26,-7.74,0.484,0.416,Surface,0.192,0.931,0.25,17.75,-0.25,7.65,0.4867522559599717,0.3,0.441,5.915,0.272,9.987,0.962,Flooded Pothole,0.95,True,0.546,0.285
SC015,Rural,Concrete,Clear,Dawn,3.6,8.0,2.0,80.0,84.58,Low,8.17,0.17,0.745,6.67,-1.33,0.23,0.752,Surface,0.659,0.478,0.465,8.01,0.01,29.05,0.9231163463866358,0.107,0.913,0.563,0.63,10.245,0.98,Shallow Puddle,0.9,True,0.354,0.165
SC016,Urban,Dirt,Rainy,Night_Streetlights,11.71,19.0,16.0,184.0,180.49,Extreme,18.95,-0.05,0.256,19.44,0.44,0.472,0.436,Bottom,0.218,0.963,0.25,19.53,0.53,10.81,0.5272924240430485,0.3,0.483,8.679,2.459,9.497,0.948,Flooded Pothole,0.95,True,0.522,0.27
SC017,Urban,Asphalt,Mist,Night_Dark,5.4,13.0,12.0,162.0,160.83,Severe,11.93,-1.07,0.342,13.45,0.45,0.437,0.487,Bottom,0.286,0.95,0.252,13.17,0.17,16.21,0.6187833918061408,0.3,0.58,-0.245,2.279,9.251,0.983,Flooded Pothole,0.95,True,0.474,0.24
SC018,Rural,Gravel,Cloudy,Night_Streetlights,11.72,5.0,5.0,117.0,126.43,Moderate,5.19,0.19,0.568,2.4,-2.6,0.319,0.641,Surface,0.498,0.678,0.283,4.66,-0.34,23.96,0.8187307530779818,0.175,0.797,2.902,1.243,10.224,0.95,Flooded Pothole,0.95,True,0.39,0.188
SC019,Urban,Concrete,Thunderstorm,Dusk,9.63,11.0,2.0,345.0,345.3,Moderate,13.35,2.35,0.442,9.79,-1.21,0.23,0.752,Surface,0.659,0.478,0.472,10.99,-0.01,25.85,0.9231163463866358,0.159,0.913,3.46,4.423,9.961,0.972,Shallow Puddle,0.9,True,0.354,0.165
SC020,Urban,Mud,Foggy,Dusk,11.29,20.0,0.0,128.0,133.71,Moderate,20.34,0.34,0.765,20.12,0.12,0.0,1.0,Bottom,1.0,0.0,1.0,19.88,-0.12,32.1,1.0,0.077,1.0,-0.358,-1.626,9.125,0.925,Dry,0.98,False,0.0,0.15
SC021,Urban,Gravel,Clear,Daylight,6.86,7.0,1.0,93.0,85.99,Low,7.25,0.25,0.791,6.87,-0.13,0.192,0.798,Bottom,0.728,0.394,0.681,6.93,-0.07,28.95,0.9607894391523232,0.087,0.956,0.325,2.018,10.304,0.962,Shallow Puddle,0.9,True,0.342,0.158
SC022,Urban,Asphalt,Cloudy,Night_Streetlights,11.64,10.0,4.0,158.0,155.48,Moderate,9.14,-0.86,0.571,7.82,-2.18,0.293,0.674,Surface,0.545,0.618,0.331,10.08,0.08,23.82,0.8521437889662113,0.161,0.834,2.114,3.786,10.521,0.97,Flooded Pothole,0.95,True,0.378,0.18
SC023,Urban,Mud,Mist,Dusk,11.0,17.0,11.0,136.0,143.75,Severe,16.58,-0.42,0.377,14.58,-2.42,0.426,0.503,Mixed,0.307,0.923,0.25,17.65,0.65,14.39,0.6440364210831414,0.299,0.607,-1.503,3.547,9.94,0.941,Flooded Pothole,0.95,True,0.462,0.232
SC024,Urban,Dirt,Cloudy,Daylight,7.88,7.0,5.0,55.0,55.92,Moderate,7.21,0.21,0.654,4.6,-2.4,0.319,0.641,Surface,0.498,0.678,0.29,7.27,0.27,24.45,0.8187307530779818,0.161,0.797,4.817,0.054,9.628,0.959,Flooded Pothole,0.95,True,0.39,0.188
SC025,Urban,Concrete,Clear,Dawn,11.05,6.0,1.0,8.0,9.25,Low,6.12,0.12,0.922,6.06,0.06,0.192,0.798,Bottom,0.728,0.394,0.687,6.03,0.03,27.73,0.9607894391523232,0.072,0.956,2.764,-0.003,9.255,0.97,Shallow Puddle,0.9,True,0.342,0.158
SC026,Urban,Gravel,Foggy,Daylight,4.14,13.0,10.0,224.0,233.33,Severe,13.71,0.71,0.336,7.41,-5.59,0.413,0.521,Surface,0.331,0.892,0.25,13.28,0.28,19.74,0.6703200460356393,0.297,0.635,-0.13,2.126,10.346,0.977,Flooded Pothole,0.95,True,0.45,0.225
SC027,Rural,Concrete,Cloudy,Night_Streetlights,2.97,18.0,6.0,74.0,69.9,Moderate,18.61,0.61,0.598,18.35,0.35,0.342,0.612,Bottom,0.457,0.73,0.384,18.69,0.69,21.67,0.7866278610665535,0.184,0.761,5.41,1.009,10.379,0.981,Flooded Pothole,0.95,True,0.402,0.195
SC028,Rural,Dirt,Rainy,Night_Streetlights,8.53,19.0,1.0,292.0,287.55,Moderate,18.4,-0.6,0.529,19.08,0.08,0.192,0.798,Bottom,0.728,0.394,0.685,19.05,0.05,30.04,0.9607894391523232,0.128,0.956,7.483,3.97,9.621,0.934,Shallow Puddle,0.9,True,0.342,0.158
SC029,Urban,Asphalt,Rainy,Dusk,3.9,8.0,3.0,169.0,169.07,Moderate,8.9,0.9,0.591,6.22,-1.78,0.263,0.711,Surface,0.598,0.552,0.389,8.1,0.1,25.11,0.8869204367171575,0.144,0.873,4.0,1.99,9.835,0.981,Shallow Puddle,0.9,True,0.366,0.172
SC030,Urban,Dirt,Rainy,Daylight,10.74,13.0,7.0,183.0,177.65,Moderate,13.5,0.5,0.453,9.24,-3.76,0.363,0.585,Surface,0.42,0.778,0.25,13.1,0.1,21.49,0.7557837414557255,0.226,0.727,0.888,1.913,10.624,0.945,Flooded Pothole,0.95,True,0.414,0.203
SC031,Rural,Asphalt,Thunderstorm,Night_Dark,11.99,8.0,0.0,416.0,411.77,Moderate,6.44,-1.56,0.439,7.93,-0.07,0.0,1.0,Bottom,1.0,0.0,1.0,8.16,0.16,30.32,1.0,0.132,1.0,4.9,0.425,10.226,0.959,Dry,0.98,False,0.0,0.15
SC032,Urban,Asphalt,Thunderstorm,Daylight,6.81,10.0,6.0,374.0,367.77,Severe,10.33,0.33,0.329,6.96,-3.04,0.342,0.612,Surface,0.457,0.73,0.25,10.04,0.04,22.89,0.7866278610665535,0.244,0.761,1.474,2.718,10.228,0.978,Flooded Pothole,0.95,True,0.402,0.195
SC033,Urban,Dirt,Cloudy,Night_Streetlights,11.27,5.0,3.0,117.0,111.29,Low,5.22,0.22,0.664,5.26,0.26,0.263,0.711,Bottom,0.598,0.552,0.523,5.35,0.35,24.99,0.8869204367171575,0.132,0.873,2.671,1.558,9.714,0.945,Shallow Puddle,0.9,True,0.366,0.172
SC034,Rural,Dirt,Rainy,Night_Dark,4.97,20.0,4.0,168.0,170.58,Moderate,20.39,0.39,0.554,20.81,0.81,0.293,0.674,Bottom,0.545,0.618,0.439,20.1,0.1,26.9,0.8521437889662113,0.164,0.834,11.104,1.788,9.755,0.958,Flooded Pothole,0.95,True,0.378,0.18
SC035,Urban,Asphalt,Mist,Dusk,6.77,6.0,0.0,154.0,158.77,Low,6.31,0.31,0.728,5.95,-0.05,0.0,1.0,Bottom,1.0,0.0,1.0,6.1,0.1,28.84,1.0,0.082,1.0,-0.609,-0.251,9.187,0.974,Dry,0.98,False,0.0,0.15
SC036,Urban,Mud,Clear,Night_Dark,7.95,7.0,2.0,8.0,6.82,Low,6.86,-0.14,0.871,7.43,0.43,0.23,0.752,Bottom,0.659,0.478,0.576,6.77,-0.23,28.63,0.9231163463866358,0.091,0.913,3.602,0.785,10.254,0.948,Shallow Puddle,0.9,True,0.354,0.165
SC037,Rural,Concrete,Clear,Night_Dark,2.4,12.0,9.0,76.0,67.94,Moderate,11.91,-0.09,0.497,10.08,-1.92,0.398,0.54,Mixed,0.358,0.858,0.25,11.85,-0.15,20.22,0.697676326071031,0.244,0.664,6.336,1.988,10.23,0.985,Flooded Pothole,0.95,True,0.438,0.217
SC038,Rural,Asphalt,Mist,Night_Dark,8.7,15.0,8.0,106.0,102.35,Moderate,15.3,0.3,0.494,14.41,-0.59,0.382,0.562,Mixed,0.387,0.82,0.293,15.13,0.13,17.36,0.7261490370736909,0.23,0.695,2.663,4.498,10.102,0.972,Flooded Pothole,0.95,True,0.426,0.21
SC039,Urban,Gravel,Drizzle,Night_Streetlights,5.16,9.0,4.0,197.0,197.93,Moderate,8.62,-0.38,0.524,7.12,-1.88,0.293,0.674,Surface,0.545,0.618,0.343,8.98,-0.02,25.96,0.8521437889662113,0.17,0.834,-0.575,2.017,9.808,0.971,Flooded Pothole,0.95,True,0.378,0.18
SC040,Urban,Asphalt,Rainy,Night_Dark,4.13,8.0,1.0,257.0,261.33,Moderate,7.18,-0.82,0.557,7.95,-0.05,0.192,0.798,Bottom,0.728,0.394,0.688,7.89,-0.11,31.45,0.9607894391523232,0.122,0.956,3.856,0.362,9.91,0.979,Shallow Puddle,0.9,True,0.342,0.158
SC041,Urban,Gravel,Drizzle,Dawn,3.58,12.0,5.0,152.0,154.02,Moderate,11.3,-0.7,0.538,11.85,-0.15,0.319,0.641,Mixed,0.498,0.678,0.4,11.73,-0.27,23.27,0.8187307530779818,0.181,0.797,4.813,1.798,10.398,0.975,Flooded Pothole,0.95,True,0.39,0.188
SC042,Rural,Mud,Foggy,Night_Dark,4.99,5.0,5.0,241.0,247.33,Moderate,4.5,-0.5,0.446,2.47,-2.53,0.319,0.641,Surface,0.498,0.678,0.285,4.82,-0.18,23.91,0.8187307530779818,0.199,0.797,-1.213,0.485,10.006,0.965,Flooded Pothole,0.95,True,0.39,0.188
SC043,Urban,Asphalt,Drizzle,Dawn,4.72,8.0,8.0,119.0,102.79,Moderate,7.52,-0.48,0.494,3.75,-4.25,0.382,0.562,Surface,0.387,0.82,0.25,8.51,0.51,19.74,0.7261490370736909,0.231,0.695,3.131,1.106,9.439,0.984,Flooded Pothole,0.95,True,0.426,0.21
SC044,Urban,Mud,Mist,Dusk,10.53,11.0,10.0,161.0,161.65,Severe,12.43,1.43,0.387,11.66,0.66,0.413,0.521,Bottom,0.331,0.892,0.275,11.0,0.0,16.53,0.6703200460356393,0.282,0.635,3.452,-0.358,9.577,0.948,Flooded Pothole,0.95,True,0.45,0.225
SC045,Rural,Mud,Drizzle,Dawn,2.44,7.0,6.0,150.0,152.31,Moderate,7.25,0.25,0.507,7.21,0.21,0.342,0.612,Bottom,0.457,0.73,0.39,6.93,-0.07,22.97,0.7866278610665535,0.2,0.761,2.564,1.254,9.895,0.976,Flooded Pothole,0.95,True,0.402,0.195
SC046,Urban,Gravel,Mist,Dusk,9.06,10.0,7.0,150.0,153.31,Moderate,11.25,1.25,0.475,5.82,-4.18,0.363,0.585,Surface,0.42,0.778,0.25,9.61,-0.39,21.37,0.7557837414557255,0.221,0.727,3.342,1.693,10.113,0.962,Flooded Pothole,0.95,True,0.414,0.203
SC047,Urban,Mud,Clear,Dawn,10.35,9.0,8.0,4.0,6.94,Moderate,9.3,0.3,0.598,7.16,-1.84,0.382,0.562,Mixed,0.387,0.82,0.252,8.89,-0.11,21.67,0.7261490370736909,0.211,0.695,2.572,0.022,10.335,0.949,Flooded Pothole,0.95,True,0.426,0.21
SC048,Urban,Mud,Rainy,Daylight,10.99,6.0,2.0,213.0,214.79,Moderate,5.58,-0.42,0.574,5.17,-0.83,0.23,0.752,Surface,0.659,0.478,0.493,6.63,0.63,26.36,0.9231163463866358,0.133,0.913,2.637,3.217,10.25,0.934,Shallow Puddle,0.9,True,0.354,0.165
SC049,Rural,Asphalt,Cloudy,Daylight,11.74,8.0,5.0,154.0,151.2,Moderate,8.56,0.56,0.541,8.15,0.15,0.319,0.641,Bottom,0.498,0.678,0.43,8.02,0.02,25.92,0.8187307530779818,0.18,0.797,0.27,1.491,10.178,0.967,Flooded Pothole,0.95,True,0.39,0.188
SC050,Urban,Concrete,Thunderstorm,Daylight,3.79,10.0,6.0,256.0,253.04,Moderate,10.6,0.6,0.414,6.72,-3.28,0.342,0.612,Surface,0.457,0.73,0.25,10.23,0.23,24.04,0.7866278610665535,0.221,0.761,3.467,3.083,10.212,0.983,Flooded Pothole,0.95,True,0.402,0.195
SC051,Rural,Gravel,Thunderstorm,Daylight,9.01,13.0,2.0,451.0,455.07,Moderate,14.74,1.74,0.355,12.5,-0.5,0.23,0.752,Mixed,0.659,0.478,0.537,13.07,0.07,27.4,0.9231163463866358,0.181,0.913,5.342,0.033,10.569,0.945,Shallow Puddle,0.9,True,0.354,0.165
SC052,Urban,Dirt,Thunderstorm,Night_Streetlights,11.18,12.0,3.0,459.0,459.48,Severe,12.88,0.88,0.331,10.02,-1.98,0.263,0.711,Surface,0.598,0.552,0.38,11.78,-0.22,24.58,0.8869204367171575,0.202,0.873,-0.722,1.734,10.015,0.938,Shallow Puddle,0.9,True,0.366,0.172
SC053,Rural,Gravel,Thunderstorm,Daylight,3.93,12.0,0.0,418.0,423.79,Moderate,12.85,0.85,0.428,12.09,0.09,0.0,1.0,Bottom,1.0,0.0,1.0,12.12,0.12,29.98,1.0,0.135,1.0,3.176,1.896,9.655,0.966,Dry,0.98,False,0.0,0.15
SC054,Rural,Gravel,Thunderstorm,Dawn,7.09,13.0,5.0,414.0,409.51,Severe,13.19,0.19,0.323,13.33,0.33,0.319,0.641,Bottom,0.498,0.678,0.421,12.97,-0.03,22.76,0.8187307530779818,0.232,0.797,-0.581,0.267,9.426,0.957,Flooded Pothole,0.95,True,0.39,0.188
SC055,Rural,Mud,Clear,Dawn,11.63,13.0,2.0,74.0,72.39,Low,13.2,0.2,0.764,11.65,-1.35,0.23,0.752,Surface,0.659,0.478,0.464,13.03,0.03,27.97,0.9231163463866358,0.104,0.913,7.206,2.207,9.506,0.909,Shallow Puddle,0.9,True,0.354,0.165
SC056,Urban,Gravel,Clear,Night_Dark,9.86,18.0,11.0,93.0,90.47,Severe,17.9,-0.1,0.42,12.61,-5.39,0.426,0.503,Surface,0.307,0.923,0.25,17.68,-0.32,15.72,0.6440364210831414,0.288,0.607,4.512,2.282,8.954,0.958,Flooded Pothole,0.95,True,0.462,0.232
SC057,Urban,Dirt,Rainy,Night_Dark,9.09,11.0,4.0,131.0,129.93,Moderate,11.24,0.24,0.601,11.27,0.27,0.293,0.674,Bottom,0.545,0.618,0.468,10.97,-0.03,25.17,0.8521437889662113,0.156,0.834,4.045,3.127,9.354,0.949,Flooded Pothole,0.95,True,0.378,0.18
SC058,Urban,Asphalt,Drizzle,Night_Streetlights,8.63,7.0,5.0,160.0,154.99,Moderate,7.08,0.08,0.537,4.18,-2.82,0.319,0.641,Surface,0.498,0.678,0.276,6.85,-0.15,24.78,0.8187307530779818,0.181,0.797,2.498,1.496,10.023,0.977,Flooded Pothole,0.95,True,0.39,0.188
SC059,Rural,Asphalt,Foggy,Dusk,8.97,18.0,10.0,203.0,210.66,Severe,18.11,0.11,0.351,13.13,-4.87,0.413,0.521,Surface,0.331,0.892,0.25,18.34,0.34,18.02,0.6703200460356393,0.292,0.635,3.284,3.9,9.456,0.971,Flooded Pothole,0.95,True,0.45,0.225
SC060,Urban,Mud,Cloudy,Night_Streetlights,6.06,17.0,5.0,127.0,127.49,Moderate,16.64,-0.36,0.567,14.3,-2.7,0.319,0.641,Surface,0.498,0.678,0.28,17.25,0.25,25.44,0.8187307530779818,0.175,0.797,-2.281,2.176,9.789,0.957,Flooded Pothole,0.95,True,0.39,0.188
SC061,Rural,Asphalt,Drizzle,Daylight,6.65,18.0,18.0,162.0,172.77,Extreme,17.36,-0.64,0.23,9.93,-8.07,0.484,0.416,Surface,0.192,0.931,0.25,18.69,0.69,7.19,0.4867522559599717,0.3,0.441,5.595,2.955,10.124,0.979,Flooded Pothole,0.95,True,0.546,0.285
SC062,Urban,Dirt,Foggy,Night_Streetlights,4.84,10.0,10.0,121.0,116.8,Moderate,9.77,-0.23,0.424,3.99,-6.01,0.413,0.521,Surface,0.331,0.892,0.25,9.83,-0.17,18.23,0.6703200460356393,0.273,0.635,-1.398,2.036,9.899,0.974,Flooded Pothole,0.95,True,0.45,0.225
SC063,Rural,Mud,Clear,Daylight,3.47,14.0,3.0,25.0,26.71,Low,14.77,0.77,0.786,12.66,-1.34,0.263,0.711,Surface,0.598,0.552,0.41,13.88,-0.12,27.14,0.8869204367171575,0.115,0.873,5.43,1.132,9.988,0.963,Shallow Puddle,0.9,True,0.366,0.172
SC064,Urban,Asphalt,Rainy,Night_Dark,10.86,7.0,7.0,226.0,219.4,Moderate,8.7,1.7,0.416,7.14,0.14,0.363,0.585,Bottom,0.42,0.778,0.362,6.63,-0.37,23.63,0.7557837414557255,0.234,0.727,-1.341,1.869,9.847,0.977,Flooded Pothole,0.95,True,0.414,0.203
SC065,Urban,Mud,Mist,Night_Streetlights,3.48,20.0,12.0,111.0,110.43,Severe,21.26,1.26,0.379,13.3,-6.7,0.437,0.487,Surface,0.286,0.95,0.25,20.0,0.0,15.67,0.6187833918061408,0.3,0.58,7.603,0.984,9.548,0.972,Flooded Pothole,0.95,True,0.474,0.24
SC066,Urban,Asphalt,Thunderstorm,Night_Streetlights,11.58,12.0,2.0,455.0,452.75,Moderate,12.84,0.84,0.357,12.02,0.02,0.23,0.752,Bottom,0.659,0.478,0.605,12.03,0.03,28.37,0.9231163463866358,0.181,0.913,-3.226,2.327,9.383,0.967,Shallow Puddle,0.9,True,0.354,0.165
SC067,Rural,Mud,Clear,Night_Dark,3.33,12.0,1.0,58.0,61.56,Low,11.58,-0.42,0.831,12.22,0.22,0.192,0.798,Bottom,0.728,0.394,0.674,12.04,0.04,27.68,0.9607894391523232,0.082,0.956,1.207,3.401,9.934,0.963,Shallow Puddle,0.9,True,0.342,0.158
SC068,Rural,Dirt,Thunderstorm,Night_Streetlights,10.97,18.0,17.0,364.0,371.76,Extreme,18.64,0.64,0.164,16.49,-1.51,0.479,0.425,Mixed,0.204,0.947,0.25,18.6,0.6,9.23,0.5066169923655895,0.3,0.462,2.301,3.536,9.575,0.942,Flooded Pothole,0.95,True,0.534,0.278
SC069,Rural,Dirt,Drizzle,Daylight,6.85,13.0,12.0,213.0,217.86,Severe,13.98,0.98,0.306,7.71,-5.29,0.437,0.487,Surface,0.286,0.95,0.25,13.18,0.18,17.19,0.6187833918061408,0.3,0.58,2.839,1.621,9.598,0.959,Flooded Pothole,0.95,True,0.474,0.24
SC070,Rural,Concrete,Rainy,Dawn,5.36,14.0,3.0,189.0,180.21,Moderate,13.33,-0.67,0.578,14.03,0.03,0.263,0.711,Bottom,0.598,0.552,0.537,14.12,0.12,28.65,0.8869204367171575,0.146,0.873,-0.27,-0.179,10.192,0.976,Shallow Puddle,0.9,True,0.366,0.172
SC071,Urban,Mud,Cloudy,Daylight,9.06,12.0,6.0,89.0,89.37,Moderate,13.0,1.0,0.575,8.25,-3.75,0.342,0.612,Surface,0.457,0.73,0.25,11.99,-0.01,23.38,0.7866278610665535,0.188,0.761,1.13,3.591,10.488,0.946,Flooded Pothole,0.95,True,0.402,0.195
SC072,Rural,Asphalt,Rainy,Dusk,4.07,19.0,13.0,135.0,134.84,Extreme,17.39,-1.61,0.339,12.58,-6.42,0.448,0.473,Surface,0.267,0.975,0.25,19.17,0.17,14.95,0.5945205479701944,0.3,0.554,6.068,3.405,10.005,0.981,Flooded Pothole,0.95,True,0.486,0.247
SC073,Rural,Dirt,Thunderstorm,Night_Dark,6.77,5.0,4.0,347.0,342.3,Moderate,4.53,-0.47,0.393,2.4,-2.6,0.293,0.674,Surface,0.545,0.618,0.315,5.2,0.2,23.72,0.8521437889662113,0.198,0.834,3.09,0.118,10.197,0.957,Flooded Pothole,0.95,True,0.378,0.18
SC074,Rural,Gravel,Thunderstorm,Night_Streetlights,9.35,18.0,17.0,441.0,443.52,Extreme,16.84,-1.16,0.142,9.46,-8.54,0.479,0.425,Surface,0.204,0.947,0.25,17.63,-0.37,8.77,0.5066169923655895,0.3,0.462,6.315,4.096,9.492,0.957,Flooded Pothole,0.95,True,0.534,0.278
SC075,Urban,Mud,Rainy,Daylight,2.29,13.0,6.0,244.0,238.01,Moderate,14.79,1.79,0.427,13.06,0.06,0.342,0.612,Bottom,0.457,0.73,0.397,13.04,0.04,22.63,0.7866278610665535,0.218,0.761,5.288,4.672,9.351,0.977,Flooded Pothole,0.95,True,0.402,0.195
SC076,Rural,Gravel,Mist,Daylight,7.34,19.0,4.0,159.0,157.9,Moderate,19.44,0.44,0.568,19.02,0.02,0.293,0.674,Bottom,0.545,0.618,0.483,18.9,-0.1,24.79,0.8521437889662113,0.162,0.834,3.363,3.574,10.158,0.953,Flooded Pothole,0.95,True,0.378,0.18
SC077,Urban,Dirt,Clear,Night_Streetlights,2.5,9.0,7.0,23.0,11.49,Moderate,8.45,-0.55,0.631,9.57,0.57,0.363,0.585,Bottom,0.42,0.778,0.344,8.96,-0.04,22.46,0.7557837414557255,0.192,0.727,-1.682,0.509,10.311,0.98,Flooded Pothole,0.95,True,0.414,0.203
SC078,Rural,Dirt,Cloudy,Night_Streetlights,4.78,15.0,10.0,147.0,148.56,Severe,17.71,2.71,0.398,15.37,0.37,0.413,0.521,Bottom,0.331,0.892,0.285,14.78,-0.22,15.59,0.6703200460356393,0.28,0.635,4.826,4.264,9.857,0.965,Flooded Pothole,0.95,True,0.45,0.225
SC079,Rural,Dirt,Thunderstorm,Dawn,7.39,20.0,0.0,441.0,442.02,Moderate,19.15,-0.85,0.413,19.79,-0.21,0.0,1.0,Bottom,1.0,0.0,1.0,19.88,-0.12,28.38,1.0,0.138,1.0,3.181,4.859,10.019,0.94,Dry,0.98,False,0.0,0.15
SC080,Urban,Gravel,Mist,Dawn,11.5,6.0,6.0,83.0,91.44,Moderate,6.6,0.6,0.572,6.48,0.48,0.342,0.612,Bottom,0.457,0.73,0.378,6.01,0.01,21.51,0.7866278610665535,0.188,0.761,1.435,2.468,9.864,0.96,Flooded Pothole,0.95,True,0.402,0.195
SC081,Urban,Concrete,Foggy,Daylight,8.69,12.0,2.0,221.0,228.62,Moderate,12.38,0.38,0.559,10.49,-1.51,0.23,0.752,Surface,0.659,0.478,0.455,11.85,-0.15,25.53,0.9231163463866358,0.136,0.913,-1.493,-0.412,10.549,0.973,Shallow Puddle,0.9,True,0.354,0.165
SC082,Urban,Mud,Rainy,Dusk,8.07,16.0,5.0,275.0,279.63,Moderate,17.84,1.84,0.418,12.75,-3.25,0.319,0.641,Surface,0.498,0.678,0.262,15.87,-0.13,23.27,0.8187307530779818,0.206,0.797,5.341,4.58,10.287,0.947,Flooded Pothole,0.95,True,0.39,0.188
SC083,Urban,Asphalt,Drizzle,Dawn,5.97,5.0,2.0,176.0,173.04,Low,4.54,-0.46,0.624,3.87,-1.13,0.23,0.752,Surface,0.659,0.478,0.476,5.04,0.04,27.52,0.9231163463866358,0.125,0.913,1.721,-0.594,10.042,0.978,Shallow Puddle,0.9,True,0.354,0.165
