scenario_id,road_environment,road_type,weather,lighting,vehicle_speed,true_depth,water_depth,true_ntu,ntu,severity_level,severity_score,lidar,ultrasonic,surface_echo,bottom_echo,radar,snr,rcs,clutter_probability,imu_pitch,imu_roll,imu_acceleration,water_state,water_contact,R_lidar,R_ultrasonic,R_radar,R_imu,R_water,scene_complexity,measurement_spread,measurement_consistency,sensor_agreement,W_lidar,W_ultrasonic,W_radar,fusion_entropy,fusion_confidence,effective_sensor_count,dominant_sensor,dominance_ratio,water_depth_estimate,fusion_depth_linear
SC00012,Rural,Asphalt,Rainy,Daylight,48.53,10.56,3.41,279.47,278.54,3,0.75,9.69,10.79,0.276,0.695,10.82,25.8,0.872493565253825,0.174,-14.678,6.368,10.052,Flooded Pothole,True,0.3644548371049721,0.4999854039115992,0.7080352965753769,0.767,0.95,0.3234896828014697,0.6439202849214595,0.9520253403384064,0.9520253403384064,0.2241579472418154,0.3121248406419153,0.4637172121162691,1.0549875398870414,0.7125763531444087,2.7570816351933214,radar,1.729375704726426,9.412,10.557337774397489
SC00013,Rural,Asphalt,Rainy,Daylight,51.85,10.94,3.36,188.33,193.35,3,0.75,11.23,11.09,0.274,0.697,11.2,25.91,0.8742402985353699,0.156,22.59,0.791,8.865,Flooded Pothole,True,0.4204103172157277,0.5018298765386549,0.7207688694929744,0.742,0.95,0.2703511108987271,0.07371114795832,0.9946423819294556,0.9946423819294556,0.2481210961014713,0.2998534276063899,0.4520254762921387,1.0659184045321726,0.7397366602755391,2.8105425551672765,radar,1.6498047143938936,9.398,11.17445975584634
SC00014,Rural,Asphalt,Mist,Dawn,40.36,8.32,0.0,100.49,108.31,2,0.5,7.23,8.44,0.0,1.0,8.33,29.55,1.0,0.072,7.984,6.867,9.216,Dry,False,0.8071586874294496,0.879999999362,0.9052583238694978,0.825,0.98,0.0826409354695178,0.6691038783328037,0.9360752975351732,0.9360752975351732,0.3079566119029125,0.3396787577992033,0.352364630297884,1.0970275822348998,0.9278756248680672,2.9906115790538315,radar,1.0881574626131625,0.0,8.028612390264708
SC00015,Urban,Gravel,Clear,Daylight,36.9,10.1,0.0,53.44,53.9,2,0.5,9.4,10.07,0.0,1.0,10.14,32.22,1.0,0.061,12.092,-2.321,8.996,Dry,False,0.8745108882733652,0.879999999362,0.9166612876917152,0.731,0.98,0.0494744412451231,0.40853396431631,0.967308824588298,0.967308824588298,0.3261651716569469,0.3286400769940235,0.3451947513490296,1.09829287997806,0.9460046437910528,2.9980743149735,radar,1.054343263311177,0.0,9.87563296758428
SC00016,Urban,Dirt,Clear,Daylight,43.65,10.09,0.0,22.53,19.94,2,0.5,9.83,10.01,0.0,1.0,10.19,30.49,1.0,0.054,17.468,8.534,8.868,Dry,False,0.9189493876879768,0.879999999362,0.9185460488078196,0.603,0.98,0.0291983806980204,0.1799999999999997,0.985530193209966,0.985530193209966,0.3385525954490171,0.3224081562932814,0.3390392482577014,1.098342051354759,0.956278174943624,2.998388447266413,radar,1.0258982772062182,0.0,10.010087597505564
SC00017,Rural,Mud,Thunderstorm,Night_Dark,40.79,14.93,7.36,290.96,288.31,3,0.75,15.63,11.13,0.37,0.577,14.77,20.68,0.7449784404608818,0.255,-5.722,16.359,5.385,Flooded Pothole,True,0.3409747596609459,0.4067102361533796,0.6062417886356286,0.542,0.95,0.4475404788258905,2.3888351415142344,0.8765037795387308,0.8765037795387308,0.243501316733736,0.2935105436586201,0.4629881396076438,1.0603012424329157,0.661592393182079,2.7793268826544733,radar,1.7243125292154524,10.29,13.911032753473634
SC00018,Urban,Gravel,Cloudy,Night_Dark,25.41,19.12,0.0,102.11,100.15,3,0.75,18.53,19.16,0.0,1.0,19.15,30.01,1.0,0.07,12.315,1.004,10.237,Dry,False,0.8169638545693684,0.879999999362,0.90748310252248,0.848,0.98,0.0671208024911615,0.3608785575970573,0.9846862862884972,0.9846862862884972,0.3106571880385146,0.3380203668177916,0.3513224451436939,1.0973131591972685,0.9328063472812406,2.992281851892197,radar,1.083195934597845,0.0,18.960772747084302
SC00019,Urban,Gravel,Drizzle,Dusk,25.35,15.0,6.52,81.96,80.79,3,0.75,14.35,11.38,0.354,0.598,14.85,21.93,0.7704349912056476,0.197,12.947,2.121,8.009,Flooded Pothole,True,0.4863597373368096,0.4223210313731697,0.6576747168553532,0.849,0.95,0.3232163547593464,1.875802050679477,0.8982892637838058,0.8982892637838058,0.3045004713143764,0.2626048815567842,0.4328946471288393,1.075652211671308,0.7261609055918827,2.8646758385128077,radar,1.526681576661686,10.137,13.78651082534077
SC00020,Urban,Dirt,Drizzle,Night_Streetlights,40.99,10.06,0.0,132.21,134.23,2,0.5,10.91,10.09,0.0,1.0,10.09,29.89,1.0,0.077,2.527,5.752,10.537,Dry,False,0.7766903559636728,0.879999999362,0.9028017978814254,0.638,0.98,0.086766293643233,0.4734272207354933,0.9640413171306924,0.9640413171306924,0.2992195022191657,0.3444779020173767,0.3563025957634575,1.095845795698407,0.9217455134292192,2.983748637976896,radar,1.107049969185267,0.0,10.335359991819717
SC00021,Urban,Concrete,Cloudy,Night_Streetlights,48.57,5.94,0.0,155.71,146.12,2,0.5,5.93,5.95,0.0,1.0,6.26,29.71,1.0,0.079,-4.749,-0.908,8.867,Dry,False,0.7630542940096386,0.879999999362,0.9011626282470604,0.821,0.98,0.0873867456337506,0.1850225211517054,0.9756249324871242,0.9756249324871242,0.29534375622441,0.3467433997541473,0.3579128440214427,1.0952092639789186,0.91909668435151,2.9800883294682508,radar,1.1148419359825363,0.0,6.055046106522159
SC00022,Rural,Dirt,Cloudy,Daylight,76.43,14.68,0.0,92.02,93.53,3,0.75,14.67,14.5,0.0,1.0,14.82,31.13,1.0,0.069,-52.856,-20.15,3.482,Dry,False,0.8249944239584132,0.879999999362,0.9100766740090648,0.25,0.98,0.060865333976405,0.1601041327803045,0.9911637173057324,0.9911637173057324,0.3127051564281222,0.3365184343367216,0.3507764092351561,1.097496614840999,0.9356171331860332,2.99335540253038,radar,1.0806027822273967,0.0,14.665408327548027
SC00023,Rural,Concrete,Clear,Daylight,60.12,6.57,0.0,23.7,27.66,2,0.5,6.27,6.78,0.0,1.0,6.42,30.88,1.0,0.056,-13.886,-3.103,9.27,Dry,False,0.9086821257501586,0.879999999362,0.9179449476643196,0.714,0.98,0.0359644147746746,0.2621068484416234,0.9680774094190272,0.9680774094190272,0.3357290888037268,0.3238392403867424,0.3404316708095308,1.098392142045202,0.9535152871219218,2.998684202799947,radar,1.0322862870821354,0.0,6.486222763218669
SC00024,Rural,Concrete,Mist,Daylight,52.74,10.1,0.75,157.62,168.57,2,0.5,9.59,10.13,0.182,0.811,10.03,26.77,0.9704455335485082,0.099,-31.883,-7.226,6.761,Shallow Puddle,True,0.4592316674642617,0.6022734369513303,0.7748270567941542,0.766,0.9,0.2118486764824627,0.2872861523522035,0.976892647532809,0.976892647532809,0.2423873127843941,0.3244221878398134,0.4331904993757924,1.071118420170364,0.7816336476756947,2.843693211081657,radar,1.5285223656173947,8.543999999999999,9.955791801158847
SC00025,Urban,Asphalt,Mist,Night_Dark,22.8,11.21,0.0,135.75,136.09,2,0.5,10.73,11.28,0.0,1.0,11.09,32.32,1.0,0.077,-1.672,2.728,10.204,Dry,False,0.774543201514117,0.879999999362,0.9065876144386974,0.929,0.98,0.0825235090860919,0.2793444707405769,0.979746438440766,0.979746438440766,0.2981174695757725,0.3442353171698397,0.3576472132543878,1.095640538911498,0.9226528086308968,2.982550513046049,radar,1.1135538620926433,0.0,11.04808242121499
SC00026,Rural,Dirt,Clear,Daylight,54.69,6.5,0.0,69.55,65.63,2,0.5,6.38,6.62,0.0,1.0,6.36,30.34,1.0,0.063,15.325,2.806,9.323,Dry,False,0.859594798806502,0.879999999362,0.9125568996205152,0.396,0.98,0.0492305936218799,0.1446835627614046,0.9820232476412408,0.9820232476412408,0.3224722482509843,0.3313087800615136,0.346218971687502,1.09818131860706,0.943428684205602,2.997409324185817,radar,1.0591282300744744,0.0,6.452589727781013
SC00027,Rural,Mud,Mist,Dawn,57.73,13.31,4.99,162.02,168.56,3,0.75,12.35,10.68,0.319,0.642,13.45,22.16,0.8190583108864073,0.184,32.476,7.35,8.402,Flooded Pothole,True,0.4281228831550394,0.4565325524740972,0.6730790117726563,0.302,0.95,0.3295281564846359,1.394740119161989,0.9143681766430845,0.9143681766430845,0.2671518183089732,0.2868232134132666,0.4460249682777601,1.0709460997947289,0.719961435267008,2.836268551827721,radar,1.6102710148849613,9.812,12.36163269870538
SC00028,Rural,Dirt,Clear,Night_Streetlights,48.48,10.42,0.0,59.54,52.94,2,0.5,10.6,10.46,0.0,1.0,10.9,28.98,1.0,0.061,24.027,0.773,10.34,Dry,False,0.8757414128425253,0.879999999362,0.910893297337255,0.479,0.98,0.0488685157716668,0.2247962040011647,0.9830628968320846,0.9830628968320846,0.3273232662822475,0.3292815233371226,0.34339521038063,1.0983826958818308,0.9455931412172957,2.998616623245437,radar,1.0459722981266957,0.0,10.656919149846992
SC00029,Urban,Mud,Rainy,Daylight,38.2,18.21,11.08,147.43,148.59,4,1.0,18.7,12.34,0.427,0.502,18.32,14.92,0.6419787984876657,0.3,-20.403,12.038,7.112,Flooded Pothole,True,0.4185775579134286,0.3531252087822134,0.4697987631279665,0.634,0.95,0.4795936867017317,3.56731458289472,0.8495974841195227,0.8495974841195227,0.3326071510263176,0.2775095800766674,0.389883268897015,1.089105305056009,0.6621780264851526,2.9442241988676328,radar,1.2780612267127829,10.825,16.78688342853153
SC00030,Rural,Asphalt,Cloudy,Night_Streetlights,49.55,10.89,0.0,89.02,92.3,2,0.5,10.5,11.01,0.0,1.0,11.03,28.77,1.0,0.068,-17.838,5.816,10.985,Dry,False,0.8264940298007074,0.879999999362,0.9059275549390562,0.759,0.98,0.0683893214244175,0.3003886371574883,0.9778878671524552,0.9778878671524552,0.3136431365333055,0.3368720177025503,0.3494848457641443,1.0976150783071223,0.9338532668715994,2.9940618995718578,radar,1.0744864081563206,0.0,10.857031697283295
SC00031,Rural,Gravel,Rainy,Daylight,57.28,5.89,2.04,184.75,189.57,2,0.5,6.16,5.01,0.231,0.75,6.14,26.22,0.9216405411914118,0.129,2.467,0.57,8.162,Shallow Puddle,True,0.4325574229738808,0.5474508292235182,0.7460104653995272,0.427,0.9,0.2607321718938597,0.6582552696332936,0.9147893278251436,0.9147893278251436,0.2428125306138814,0.312372410179314,0.4448150592068047,1.0674997758553788,0.7542175489945283,2.821711157702825,radar,1.6024031868360584,8.998999999999999,5.7918754271096535
SC00032,Urban,Asphalt,Clear,Daylight,35.79,16.82,0.0,72.12,68.04,3,0.75,16.79,16.87,0.0,1.0,16.85,31.24,1.0,0.064,29.315,-9.49,6.452,Dry,False,0.8565574260352852,0.879999999362,0.9134243665179544,0.872,0.98,0.0472192779684967,0.0416333199893237,0.9979850543392004,0.9979850543392004,0.32149725458461,0.3316237263564213,0.3468790190589687,1.0981236513363752,0.9434956320486634,2.9970643654024807,radar,1.06221980055859,0.0,16.837342639252054
SC00033,Urban,Asphalt,Rainy,Daylight,33.65,10.26,4.02,287.92,287.99,3,0.75,11.62,7.95,0.293,0.674,10.38,23.89,0.8514623465483492,0.188,16.197,7.782,7.876,Flooded Pothole,True,0.3553995461665046,0.4824802044155454,0.6866747793307684,0.883,0.95,0.3727788227528122,1.8668779642315487,0.8675401361671602,0.8675401361671602,0.2253865388306904,0.310285081472996,0.4643283796963135,1.05514312796077,0.6963549919676792,2.7572761439739946,radar,1.7336306875146374,9.575,9.905486560170676
SC00034,Rural,Asphalt,Rainy,Night_Streetlights,49.64,8.17,1.48,173.68,168.33,2,0.5,8.45,8.32,0.211,0.775,8.63,26.95,0.9425182466561468,0.113,-0.465,0.425,9.031,Shallow Puddle,True,0.4526987683241742,0.5695692343762864,0.7622212274029286,0.758,0.9,0.2221268009577841,0.1556705923844752,0.9852096938733058,0.9852096938733058,0.2460300363798001,0.3148811319793124,0.4390888316408875,1.0702660049490236,0.7717786889879085,2.8370411387426,radar,1.565626988401143,8.81,8.48810144253805
SC00035,Urban,Asphalt,Drizzle,Daylight,22.84,12.35,4.14,159.06,151.49,2,0.5,12.16,11.1,0.297,0.669,12.38,25.61,0.8473851204558103,0.163,-1.192,0.812,8.363,Flooded Pothole,True,0.4454235116723845,0.4784726724270113,0.7116959363531435,0.929,0.95,0.2787717637177143,0.6843975452907475,0.9550754184615736,0.9550754184615736,0.2648428221244734,0.2864420881752332,0.4487150897002934,1.069575978766351,0.7394667406565784,2.8285660800483696,radar,1.6278881620566077,9.607,11.955088706268318
SC00036,Urban,Asphalt,Mist,Daylight,30.64,14.19,0.0,205.65,201.23,3,0.75,14.27,14.2,0.0,1.0,14.03,30.54,1.0,0.09,16.659,1.135,10.565,Dry,False,0.7025712098905961,0.879999999362,0.8957646955330089,0.897,0.98,0.1079481670783687,0.1234233905438242,0.9929367310328364,0.9929367310328364,0.2774672181619873,0.356576286768963,0.3659564950690497,1.0913059326597605,0.9032637863191908,2.9580647432258798,radar,1.154357681205959,0.0,14.157210101109602
SC00037,Rural,Concrete,Drizzle,Night_Dark,47.25,13.4,0.0,107.49,110.29,2,0.5,13.85,13.56,0.0,1.0,13.23,28.59,1.0,0.072,8.799,5.169,8.697,Dry,False,0.804794993324527,0.879999999362,0.9029198220563212,0.803,0.98,0.0769401099824501,0.3102149792213991,0.9816456322483588,0.9816456322483588,0.307615057642178,0.3404078887541489,0.351977053603673,1.097007122018279,0.9283737642125728,2.9904985818251206,radar,1.0863104634178176,0.0,13.53305593902702
SC00038,Urban,Asphalt,Cloudy,Daylight,27.72,9.17,0.0,52.64,55.22,2,0.5,9.35,9.25,0.0,1.0,9.6,30.86,1.0,0.061,12.333,1.292,9.437,Dry,False,0.8728213368904454,0.879999999362,0.9147336568544572,0.91,0.98,0.0448334081669472,0.1802775637731993,0.9845822779571962,0.9845822779571962,0.3259903192431284,0.3291708240807338,0.3448388566761378,1.0983083901355672,0.9464631185334568,2.998168508144444,radar,1.052684092116931,0.0,9.403292631760962
SC00039,Urban,Concrete,Clear,Daylight,41.33,15.98,0.0,50.65,56.33,3,0.75,16.32,16.08,0.0,1.0,15.94,31.14,1.0,0.061,18.446,2.053,10.263,Dry,False,0.8714027447743319,0.879999999362,0.9151799150486324,0.86,0.98,0.0446988995862799,0.1921804707386615,0.9903557280144744,0.9903557280144744,0.3255251458721372,0.329306727870839,0.3451681262570237,1.0982880452816135,0.946344052031568,2.998046080431216,radar,1.054219075449126,0.0,16.10980249733333
SC00040,Rural,Gravel,Thunderstorm,Daylight,37.98,13.45,7.21,292.71,288.85,3,0.75,13.34,13.06,0.367,0.58,13.02,22.38,0.7494617475750764,0.252,21.336,2.422,10.133,Flooded Pothole,True,0.3412096812368728,0.4092510480623375,0.6241740831014269,0.677,0.95,0.395426065433444,0.1743559577416269,0.9892819474718638,0.9892819474718638,0.2401235782804251,0.2908667117798806,0.4690097099396942,1.0568512830356755,0.6722867527627652,2.760654931470267,radar,1.7665472183480462,10.262,13.108474213520932
SC00041,Urban,Asphalt,Cloudy,Daylight,19.36,11.99,2.17,88.0,79.94,2,0.5,11.82,11.2,0.236,0.745,11.89,28.42,0.9168604493870433,0.109,2.798,4.469,9.403,Shallow Puddle,True,0.5166332669732737,0.5424729625543118,0.7659290926095823,0.941,0.9,0.1935305990664563,0.3797806384392625,0.9740440345434545,0.9740440345434545,0.2765362704166175,0.2919768760503251,0.4314868535330574,1.077583054610307,0.7878797287429914,2.874358542034952,radar,1.5179485512799102,9.041999999999998,11.669178416596113
SC00042,Urban,Asphalt,Cloudy,Night_Streetlights,28.29,9.72,0.0,115.28,111.63,2,0.5,9.81,9.73,0.0,1.0,9.64,33.22,1.0,0.072,-6.19,2.056,9.963,Dry,False,0.8031987454829326,0.879999999362,0.91073140057982,0.908,0.98,0.0674284235464715,0.0850490054811537,0.9929112443548198,0.9929112443548198,0.3061801573714319,0.3395205526306527,0.3542992899979154,1.096772007574077,0.9309187868273764,2.9891033911002767,radar,1.0974102537247454,0.0,9.722607476489902
SC00043,Urban,Asphalt,Foggy,Night_Streetlights,17.89,13.54,0.0,129.65,132.82,2,0.5,12.64,13.57,0.0,1.0,13.46,31.28,1.0,0.077,-0.054,0.567,7.818,Dry,False,0.7783215137172287,0.879999999362,0.9052146723687804,0.945,0.98,0.0856176026644657,0.5081666393353005,0.9695770106870646,0.9695770106870646,0.2994002805384913,0.343873013686332,0.3567267057751767,1.095856106591271,0.9225212875327335,2.983799875044191,radar,1.1090984468862215,0.0,13.252317801463937
SC00044,Urban,Asphalt,Rainy,Daylight,34.08,11.83,0.0,147.23,143.27,2,0.5,11.78,11.91,0.0,1.0,11.94,28.2,1.0,0.079,-6.277,-3.949,7.98,Dry,False,0.7663035112006404,0.879999999362,0.8973976467274313,0.881,0.98,0.0888403122124702,0.085049005481154,0.9941870425899554,0.9941870425899554,0.2967966283032462,0.3468415112988335,0.3563618603979201,1.0954845963223172,0.918949837290744,2.981683090709213,radar,1.1073360587895815,0.0,11.882107294132515
SC00045,Rural,Concrete,Cloudy,Night_Streetlights,42.36,6.01,0.0,93.4,91.73,1,0.25,5.82,5.91,0.0,1.0,6.22,30.61,1.0,0.068,-6.387,3.69,8.441,Dry,False,0.8271897701032177,0.879999999362,0.9098632382284876,0.833,0.98,0.0627439456284747,0.2098412098071616,0.9721618401908312,0.9721618401908312,0.3133592177140439,0.3362245307647338,0.3504162515212221,1.097558566068401,0.9355543874441916,2.9937208165804416,radar,1.0788947609627322,0.0,5.990426708377314
SC00046,Rural,Mud,Cloudy,Daylight,67.74,9.64,0.0,71.26,64.96,2,0.5,9.97,9.96,0.0,1.0,9.93,29.27,1.0,0.063,-23.387,-19.917,4.524,Dry,False,0.8604408579741774,0.879999999362,0.91032836379473,0.25,0.98,0.0483051923669451,0.0208166599946618,0.9982952689027254,0.9982952689027254,0.3230300480903082,0.3315125955291041,0.3454573563805876,1.0982285416532704,0.9434673366329216,2.9976935921664225,radar,1.0555686776013948,0.0,9.952866579789486
SC00047,Rural,Dirt,Cloudy,Night_Streetlights,58.41,17.58,0.0,112.23,118.56,3,0.75,17.28,17.65,0.0,1.0,17.68,28.61,1.0,0.074,13.142,-4.515,7.119,Dry,False,0.7949875065492622,0.879999999362,0.9017091199666264,0.349,0.98,0.0785452307872955,0.2227853974867581,0.9897337362179826,0.9897337362179826,0.3048646205488887,0.3420119071220136,0.3531234723290977,1.0966722294860558,0.926323434332984,2.988546977800434,radar,1.091780138010069,0.0,17.547793794566786
SC00048,Rural,Dirt,Clear,Night_Dark,53.84,8.39,0.0,44.17,43.87,2,0.5,7.28,8.24,0.0,1.0,8.58,32.45,1.0,0.059,18.92,0.969,7.593,Dry,False,0.8874406544128932,0.879999999362,0.9182074026338796,0.407,0.98,0.0523665744159072,0.6741908730718128,0.9358705890553376,0.9358705890553376,0.3295906960782069,0.3266201532455465,0.3437891506762465,1.0983608420077022,0.9474111167909304,2.998485181147066,radar,1.0478008738486555,0.0,8.040481242994845
SC00049,Urban,Gravel,Mist,Night_Streetlights,32.38,8.73,3.37,81.92,74.77,2,0.5,8.59,6.9,0.274,0.697,8.52,27.7,0.8738906723458553,0.132,-8.838,1.176,9.588,Flooded Pothole,True,0.5110680720315505,0.5018017947947756,0.743096519434041,0.78,0.95,0.23078621446534,0.9561554964195588,0.9111230719401506,0.9111230719401506,0.284646708341979,0.2796878181689287,0.4356654734890923,1.0759914227548255,0.7699570648697979,2.864890921961127,radar,1.543997232213038,9.4,8.086831004150275
SC00050,Rural,Concrete,Clear,Daylight,56.64,12.76,0.0,42.14,42.19,2,0.5,12.43,12.83,0.0,1.0,12.78,29.1,1.0,0.058,29.715,5.892,8.905,Dry,False,0.8896222604691411,0.879999999362,0.9130889216292912,0.739,0.98,0.0428399146633804,0.2179449471770337,0.9861602132415626,0.9861602132415626,0.3310058939124828,0.327077564706465,0.3419165413810522,1.0984355008454012,0.9489850238694,2.9989363695551385,radar,1.0391282044911392,0.0,12.680501815365954
SC00051,Urban,Gravel,Clear,Daylight,26.38,7.79,1.17,56.38,56.73,2,0.5,7.66,7.92,0.199,0.79,7.99,26.74,0.9542782341529094,0.085,8.644,-1.625,8.923,Shallow Puddle,True,0.5464291377793481,0.5830119418912065,0.7820457627027068,0.839,0.9,0.1677465847923909,0.173877351409933,0.9822506929397314,0.9822506929397314,0.2796627319756051,0.3005152521002743,0.4198220159241205,1.0820084034268256,0.8080455164131666,2.900474407914075,radar,1.4472180173860796,8.7,7.876675230801031
SC00052,Urban,Concrete,Clear,Daylight,34.34,8.2,0.0,5.32,15.99,2,0.5,7.59,8.18,0.0,1.0,8.26,30.42,1.0,0.053,11.99,2.909,9.972,Dry,False,0.9242406359871947,0.879999999362,0.9190545789334024,0.893,0.98,0.0324373903356263,0.3659234892706396,0.9640409966717556,0.9640409966717556,0.3399114898199187,0.3216159570142661,0.3384725531658151,1.0982999861124425,0.9563703278784532,2.9981383303092413,lidar,1.0298967019624574,0.0,8.006530025259513
SC00053,Rural,Asphalt,Drizzle,Night_Dark,44.89,11.49,0.0,124.94,121.83,2,0.5,11.4,11.42,0.0,1.0,11.42,31.27,1.0,0.074,1.185,-0.476,9.625,Dry,False,0.7911384542961752,0.879999999362,0.9071082176056556,0.793,0.98,0.0702130125403103,0.0115470053837922,0.9991746224869744,0.9991746224869744,0.3030740975871245,0.3418027385470633,0.3551231638658121,1.0963914409532436,0.9279767044158788,2.9868981306657263,radar,1.1013674052662537,0.0,11.413938518048257
