scenario_id,road_environment,road_type,pothole_depth,water_depth,ntu,weather,lighting,vehicle_speed,severity,temperature_c,relative_humidity_pct,ambient_lux,water_conductivity_factor,road_roughness_factor,surface_reflectance_prior,radar_return_strength_prior
SC00018,Urban,Gravel,19.12,0.0,102.11,Cloudy,Night_Dark,25.41,Severe,21.74,82.81,2.057,0.898,1.55,0.32,0.9
SC00019,Urban,Gravel,15.0,6.52,81.96,Drizzle,Dusk,25.35,Severe,22.7,83.75,1463.408,0.766,1.55,0.32,0.9
SC00020,Urban,Dirt,10.06,0.0,132.21,Drizzle,Night_Streetlights,40.99,Moderate,19.47,84.48,61.747,0.918,2.0,0.24,0.72
SC00021,Urban,Concrete,5.94,0.0,155.71,Cloudy,Night_Streetlights,48.57,Moderate,18.35,59.52,65.054,1.113,0.9,0.45,0.95
SC00022,Rural,Dirt,14.68,0.0,92.02,Cloudy,Daylight,76.43,Severe,25.14,47.78,41755.262,0.765,2.3,0.24,0.72
SC00023,Rural,Concrete,6.57,0.0,23.7,Clear,Daylight,60.12,Moderate,28.87,44.2,34199.091,0.695,1.035,0.45,0.95
SC00024,Rural,Concrete,10.1,0.75,157.62,Mist,Daylight,52.74,Moderate,19.24,90.68,31435.308,0.907,1.035,0.45,0.95
SC00025,Urban,Asphalt,11.21,0.0,135.75,Mist,Night_Dark,22.8,Moderate,17.66,83.75,3.558,1.128,1.0,0.18,0.8
SC00026,Rural,Dirt,6.5,0.0,69.55,Clear,Daylight,54.69,Moderate,27.74,42.37,48703.25,1.026,2.3,0.24,0.72
SC00027,Rural,Mud,13.31,4.99,162.02,Mist,Dawn,57.73,Severe,24.23,82.93,4865.786,0.715,2.7025,0.12,0.62
SC00028,Rural,Dirt,10.42,0.0,59.54,Clear,Night_Streetlights,48.48,Moderate,18.28,43.83,73.168,1.025,2.3,0.24,0.72
SC00029,Urban,Mud,18.21,11.08,147.43,Rainy,Daylight,38.2,Extreme,18.18,96.76,23319.016,0.82,2.35,0.12,0.62
SC00030,Rural,Asphalt,10.89,0.0,89.02,Cloudy,Night_Streetlights,49.55,Moderate,25.71,46.29,191.14,0.896,1.15,0.18,0.8
SC00031,Rural,Gravel,5.89,2.04,184.75,Rainy,Daylight,57.28,Moderate,22.76,84.3,24535.043,1.015,1.7825,0.32,0.9
SC00032,Urban,Asphalt,16.82,0.0,72.12,Clear,Daylight,35.79,Severe,24.14,53.37,8599.041,0.708,1.0,0.18,0.8
SC00033,Urban,Asphalt,10.26,4.02,287.92,Rainy,Daylight,33.65,Severe,18.08,78.54,30303.58,1.161,1.0,0.18,0.8
SC00034,Rural,Asphalt,8.17,1.48,173.68,Rainy,Night_Streetlights,49.64,Moderate,24.16,78.06,84.901,1.159,1.15,0.18,0.8
SC00035,Urban,Asphalt,12.35,4.14,159.06,Drizzle,Daylight,22.84,Moderate,21.45,74.47,51253.469,0.985,1.0,0.18,0.8
SC00036,Urban,Asphalt,14.19,0.0,205.65,Mist,Daylight,30.64,Severe,26.55,93.96,33448.677,1.082,1.0,0.18,0.8
SC00037,Rural,Concrete,13.4,0.0,107.49,Drizzle,Night_Dark,47.25,Moderate,23.04,85.44,1.861,1.045,1.035,0.45,0.95
SC00038,Urban,Asphalt,9.17,0.0,52.64,Cloudy,Daylight,27.72,Moderate,25.55,72.11,15535.138,0.824,1.0,0.18,0.8
SC00039,Urban,Concrete,15.98,0.0,50.65,Clear,Daylight,41.33,Severe,29.5,49.41,10283.011,0.743,0.9,0.45,0.95
SC00040,Rural,Gravel,13.45,7.21,292.71,Thunderstorm,Daylight,37.98,Severe,22.54,74.07,25240.192,1.309,1.7825,0.32,0.9
SC00041,Urban,Asphalt,11.99,2.17,88.0,Cloudy,Daylight,19.36,Moderate,25.03,56.58,28699.699,0.628,1.0,0.18,0.8
SC00042,Urban,Asphalt,9.72,0.0,115.28,Cloudy,Night_Streetlights,28.29,Moderate,18.54,49.38,103.576,1.15,1.0,0.18,0.8
SC00043,Urban,Asphalt,13.54,0.0,129.65,Foggy,Night_Streetlights,17.89,Moderate,16.86,85.94,125.957,0.96,1.0,0.18,0.8
SC00044,Urban,Asphalt,11.83,0.0,147.23,Rainy,Daylight,34.08,Moderate,26.14,79.38,12764.423,0.953,1.0,0.18,0.8
SC00045,Rural,Concrete,6.01,0.0,93.4,Cloudy,Night_Streetlights,42.36,Low,26.44,76.65,113.615,0.667,1.035,0.45,0.95
SC00046,Rural,Mud,9.64,0.0,71.26,Cloudy,Daylight,67.74,Moderate,27.08,55.22,51552.123,0.95,2.7025,0.12,0.62
SC00047,Rural,Dirt,17.58,0.0,112.23,Cloudy,Night_Streetlights,58.41,Severe,23.6,65.76,138.104,0.748,2.3,0.24,0.72
SC00048,Rural,Dirt,8.39,0.0,44.17,Clear,Night_Dark,53.84,Moderate,18.51,62.58,0.897,0.667,2.3,0.24,0.72
SC00049,Urban,Gravel,8.73,3.37,81.92,Mist,Night_Streetlights,32.38,Moderate,21.17,90.99,129.991,1.038,1.55,0.32,0.9
SC00050,Rural,Concrete,12.76,0.0,42.14,Clear,Daylight,56.64,Moderate,26.81,50.52,38496.57,0.732,1.035,0.45,0.95
SC00051,Urban,Gravel,7.79,1.17,56.38,Clear,Daylight,26.38,Moderate,22.9,51.89,37611.269,1.087,1.55,0.32,0.9
SC00052,Urban,Concrete,8.2,0.0,5.32,Clear,Daylight,34.34,Moderate,23.77,69.84,31488.832,0.934,0.9,0.45,0.95
SC00053,Rural,Asphalt,11.49,0.0,124.94,Drizzle,Night_Dark,44.89,Moderate,17.24,90.21,1.722,1.152,1.15,0.18,0.8
SC00054,Urban,Asphalt,7.21,2.43,334.6,Rainy,Dawn,21.98,Moderate,23.2,89.48,4890.696,0.897,1.0,0.18,0.8
SC00055,Urban,Concrete,18.7,0.0,92.85,Cloudy,Night_Dark,35.68,Severe,26.05,81.29,0.962,0.716,0.9,0.45,0.95
SC00056,Urban,Concrete,3.56,0.0,43.0,Clear,Dawn,29.28,Low,23.14,57.58,4295.682,0.8,0.9,0.45,0.95
SC00057,Rural,Concrete,12.41,0.0,157.16,Foggy,Night_Streetlights,51.02,Moderate,21.12,96.68,160.165,0.689,1.035,0.45,0.95
SC00058,Urban,Asphalt,8.86,4.15,241.79,Rainy,Dusk,37.1,Severe,21.0,87.78,916.962,0.776,1.0,0.18,0.8
SC00059,Urban,Asphalt,17.46,0.0,41.7,Clear,Daylight,44.92,Severe,35.72,56.58,23435.276,0.572,1.0,0.18,0.8
SC00060,Urban,Gravel,7.65,3.42,209.21,Rainy,Night_Dark,21.12,Moderate,19.84,84.96,2.394,1.308,1.55,0.32,0.9
SC00061,Urban,Asphalt,14.37,0.0,79.45,Cloudy,Night_Dark,29.84,Severe,22.03,82.94,1.498,0.883,1.0,0.18,0.8
SC00062,Urban,Mud,7.72,2.6,142.22,Drizzle,Daylight,36.39,Moderate,19.47,81.74,48526.745,0.941,2.35,0.12,0.62
SC00063,Urban,Concrete,8.34,4.31,358.35,Thunderstorm,Night_Streetlights,19.08,Moderate,29.13,94.64,91.666,0.888,0.9,0.45,0.95
SC00064,Urban,Dirt,8.7,0.0,322.24,Rainy,Dusk,25.01,Moderate,21.37,85.9,4549.99,1.08,2.0,0.24,0.72
SC00065,Rural,Dirt,10.03,0.0,37.25,Clear,Night_Streetlights,66.6,Moderate,23.89,47.19,111.335,1.099,2.3,0.24,0.72
SC00066,Urban,Concrete,11.27,0.0,126.21,Drizzle,Daylight,28.62,Moderate,19.3,84.14,32083.548,0.828,0.9,0.45,0.95
SC00067,Urban,Gravel,14.34,6.57,266.39,Rainy,Night_Streetlights,38.74,Severe,20.97,76.32,97.788,1.134,1.55,0.32,0.9
SC00068,Rural,Dirt,10.39,0.0,76.21,Cloudy,Dusk,61.42,Moderate,19.86,66.55,5089.654,0.786,2.3,0.24,0.72
SC00069,Urban,Concrete,15.11,0.0,111.39,Mist,Night_Streetlights,32.36,Severe,23.63,93.45,26.994,0.691,0.9,0.45,0.95
SC00070,Rural,Concrete,10.19,5.59,424.45,Thunderstorm,Night_Streetlights,41.35,Severe,24.52,94.35,29.894,1.397,1.035,0.45,0.95
SC00071,Urban,Asphalt,11.41,0.0,18.44,Clear,Dusk,22.43,Moderate,31.18,55.16,1480.125,1.052,1.0,0.18,0.8
SC00072,Urban,Asphalt,4.06,0.0,71.89,Clear,Daylight,36.99,Moderate,21.9,50.91,25488.11,0.873,1.0,0.18,0.8
SC00073,Urban,Concrete,7.87,0.0,35.7,Clear,Night_Streetlights,27.89,Moderate,27.22,54.02,231.556,0.712,0.9,0.45,0.95
SC00074,Urban,Mud,12.69,0.0,9.9,Clear,Dusk,35.63,Moderate,26.45,65.04,1617.248,0.989,2.35,0.12,0.62
SC00075,Urban,Concrete,12.6,0.0,234.71,Rainy,Night_Streetlights,34.45,Severe,21.96,94.8,121.692,0.951,0.9,0.45,0.95
SC00076,Urban,Asphalt,8.93,0.0,160.88,Rainy,Daylight,22.37,Moderate,21.28,97.17,30779.311,1.344,1.0,0.18,0.8
SC00077,Urban,Dirt,14.26,0.0,147.76,Foggy,Dusk,21.88,Moderate,25.09,86.28,5050.537,1.123,2.0,0.24,0.72
SC00078,Rural,Gravel,9.6,2.24,355.8,Thunderstorm,Night_Streetlights,41.49,Moderate,24.34,89.6,110.936,1.417,1.7825,0.32,0.9
SC00079,Urban,Mud,15.56,0.0,73.96,Clear,Dawn,27.45,Severe,19.73,61.5,5953.957,0.716,2.35,0.12,0.62
SC00080,Urban,Asphalt,10.71,7.31,268.4,Thunderstorm,Daylight,24.0,Severe,24.32,90.79,50083.995,1.114,1.0,0.18,0.8
SC00081,Urban,Gravel,10.68,0.0,135.98,Cloudy,Daylight,19.79,Moderate,22.53,65.94,50513.716,1.07,1.55,0.32,0.9
SC00082,Urban,Asphalt,9.53,1.84,89.47,Drizzle,Night_Dark,38.36,Moderate,21.68,83.53,2.285,1.028,1.0,0.18,0.8
SC00083,Rural,Asphalt,11.4,2.2,20.36,Clear,Daylight,48.0,Moderate,31.16,48.04,19420.941,1.045,1.15,0.18,0.8
SC00084,Rural,Asphalt,8.46,0.0,47.93,Clear,Daylight,36.22,Moderate,17.81,60.26,22502.811,0.728,1.15,0.18,0.8
SC00085,Urban,Asphalt,13.42,6.81,212.22,Rainy,Dusk,21.69,Severe,21.03,96.09,713.122,1.259,1.0,0.18,0.8
SC00086,Urban,Dirt,5.69,0.0,75.62,Cloudy,Night_Dark,37.16,Moderate,23.66,79.19,0.602,0.644,2.0,0.24,0.72
SC00087,Urban,Concrete,11.24,0.0,93.44,Clear,Night_Streetlights,34.27,Moderate,25.99,54.79,41.557,0.936,0.9,0.45,0.95
SC00088,Urban,Dirt,8.06,2.49,188.46,Rainy,Night_Streetlights,28.65,Moderate,20.38,78.92,86.647,1.182,2.0,0.24,0.72
SC00089,Urban,Asphalt,14.65,4.68,391.82,Thunderstorm,Dawn,27.6,Severe,23.41,88.28,3499.477,1.047,1.0,0.18,0.8
SC00090,Urban,Asphalt,15.26,0.0,314.89,Rainy,Night_Streetlights,30.71,Severe,19.87,89.07,58.541,1.177,1.0,0.18,0.8
SC00091,Urban,Asphalt,13.65,0.0,162.75,Mist,Daylight,34.59,Severe,27.25,92.19,33480.26,1.036,1.0,0.18,0.8
SC00092,Rural,Asphalt,7.63,0.0,144.27,Foggy,Daylight,46.61,Moderate,13.77,96.05,31905.595,0.87,1.15,0.18,0.8
SC00093,Urban,Asphalt,8.06,0.0,27.39,Clear,Night_Streetlights,31.09,Moderate,28.92,59.8,108.125,0.597,1.0,0.18,0.8
SC00094,Urban,Asphalt,8.69,0.0,128.86,Drizzle,Night_Streetlights,30.97,Moderate,20.17,85.22,44.162,0.936,1.0,0.18,0.8
SC00095,Urban,Asphalt,5.32,1.55,59.9,Drizzle,Night_Streetlights,28.18,Moderate,19.55,73.37,63.84,0.88,1.0,0.18,0.8
SC00096,Rural,Asphalt,12.9,0.0,63.49,Clear,Daylight,66.08,Severe,19.98,63.04,14115.161,0.56,1.15,0.18,0.8
SC00097,Rural,Mud,12.97,2.18,66.31,Drizzle,Dusk,49.77,Severe,24.59,82.8,3873.928,1.206,2.7025,0.12,0.62
SC00098,Rural,Asphalt,11.0,0.0,25.72,Clear,Night_Streetlights,52.57,Moderate,24.56,42.9,99.046,0.613,1.15,0.18,0.8
SC00099,Rural,Concrete,14.45,0.0,62.65,Cloudy,Night_Streetlights,44.82,Moderate,20.49,69.51,144.35,0.961,1.035,0.45,0.95
SC00100,Rural,Asphalt,13.61,0.0,185.0,Drizzle,Night_Streetlights,56.06,Severe,23.02,82.9,170.506,1.045,1.15,0.18,0.8
SC00101,Urban,Asphalt,8.72,1.77,68.89,Cloudy,Daylight,32.79,Moderate,17.95,75.97,16235.909,1.075,1.0,0.18,0.8
SC00102,Urban,Dirt,11.3,0.0,178.99,Drizzle,Daylight,31.1,Moderate,24.68,83.35,24859.112,0.962,2.0,0.24,0.72
SC00103,Urban,Asphalt,9.39,0.0,37.04,Clear,Night_Dark,25.99,Moderate,23.38,50.82,1.603,0.838,1.0,0.18,0.8
SC00104,Urban,Asphalt,9.35,0.0,109.92,Cloudy,Daylight,36.39,Moderate,18.18,54.67,35806.001,0.756,1.0,0.18,0.8
SC00105,Urban,Gravel,9.3,0.0,91.02,Mist,Night_Dark,26.99,Moderate,27.03,89.93,1.463,1.007,1.55,0.32,0.9
SC00106,Urban,Mud,14.36,0.0,114.88,Cloudy,Night_Streetlights,38.29,Severe,25.46,67.82,121.635,0.833,2.35,0.12,0.62
SC00107,Urban,Asphalt,17.02,0.0,21.34,Clear,Daylight,24.81,Severe,20.12,62.31,17455.603,0.974,1.0,0.18,0.8
SC00108,Rural,Dirt,13.7,0.0,29.39,Clear,Daylight,45.6,Moderate,30.49,59.61,41357.564,0.641,2.3,0.24,0.72
SC00109,Urban,Asphalt,10.28,5.07,203.4,Rainy,Daylight,29.81,Moderate,19.51,92.68,28913.16,1.293,1.0,0.18,0.8
SC00110,Rural,Asphalt,8.79,4.46,461.13,Thunderstorm,Daylight,46.05,Severe,25.59,78.88,22866.164,1.281,1.15,0.18,0.8
SC00111,Urban,Dirt,14.97,0.0,56.47,Clear,Night_Streetlights,28.82,Severe,31.87,42.08,88.18,1.071,2.0,0.24,0.72
SC00112,Urban,Asphalt,5.52,0.0,62.61,Cloudy,Dawn,48.3,Moderate,22.57,50.28,6212.308,1.062,1.0,0.18,0.8
SC00113,Rural,Concrete,14.62,0.0,16.66,Clear,Daylight,62.84,Severe,25.93,32.28,16368.726,0.691,1.035,0.45,0.95
SC00114,Urban,Dirt,6.64,2.24,126.95,Rainy,Dusk,28.13,Moderate,23.51,87.18,1050.36,1.338,2.0,0.24,0.72
SC00115,Urban,Concrete,7.13,0.0,141.13,Drizzle,Daylight,26.78,Moderate,21.39,83.56,16699.583,1.236,0.9,0.45,0.95
SC00116,Urban,Asphalt,11.29,2.93,143.29,Drizzle,Night_Dark,43.3,Severe,19.99,67.88,2.914,0.89,1.0,0.18,0.8
SC00117,Urban,Gravel,9.29,3.86,264.72,Rainy,Night_Streetlights,23.48,Moderate,23.35,87.3,130.922,1.161,1.55,0.32,0.9
SC00118,Urban,Gravel,8.91,2.64,124.62,Rainy,Daylight,36.8,Moderate,21.11,98.25,31161.066,0.915,1.55,0.32,0.9
SC00119,Urban,Gravel,15.22,0.0,50.96,Cloudy,Night_Streetlights,31.05,Severe,28.12,73.14,179.967,0.813,1.55,0.32,0.9
SC00120,Urban,Mud,10.96,0.0,153.61,Drizzle,Night_Dark,21.75,Moderate,22.76,86.68,1.942,0.877,2.35,0.12,0.62
SC00121,Urban,Asphalt,10.12,0.0,72.03,Cloudy,Night_Streetlights,20.45,Moderate,27.8,63.67,240.722,0.751,1.0,0.18,0.8
SC00122,Rural,Mud,9.58,0.0,49.36,Clear,Night_Streetlights,73.13,Moderate,21.6,54.85,149.104,0.569,2.7025,0.12,0.62
SC00123,Rural,Asphalt,11.42,0.0,98.2,Cloudy,Daylight,72.85,Severe,22.54,73.73,32152.875,0.891,1.15,0.18,0.8
SC00124,Urban,Asphalt,13.3,0.0,29.97,Clear,Daylight,34.83,Severe,23.59,46.05,28254.403,1.098,1.0,0.18,0.8
SC00125,Rural,Asphalt,15.0,0.0,179.55,Drizzle,Daylight,53.14,Severe,17.93,83.86,43232.431,0.876,1.15,0.18,0.8
SC00126,Urban,Asphalt,14.97,0.0,185.74,Drizzle,Night_Dark,34.2,Severe,24.5,81.11,0.745,0.811,1.0,0.18,0.8
SC00127,Rural,Asphalt,9.63,0.0,40.11,Clear,Dusk,60.3,Moderate,20.36,47.5,5895.61,0.945,1.15,0.18,0.8
SC00128,Rural,Concrete,17.83,0.0,159.84,Foggy,Dawn,53.53,Severe,18.81,96.17,4813.803,1.002,1.035,0.45,0.95
SC00129,Rural,Asphalt,5.57,0.71,55.61,Cloudy,Night_Dark,52.0,Moderate,25.71,63.5,3.897,1.092,1.15,0.18,0.8
SC00130,Urban,Dirt,6.86,2.82,210.72,Rainy,Dusk,23.32,Moderate,25.61,80.82,2969.571,1.218,2.0,0.24,0.72
SC00131,Rural,Concrete,4.84,1.46,137.33,Drizzle,Night_Streetlights,58.0,Moderate,24.22,79.58,120.366,0.974,1.035,0.45,0.95
SC00132,Urban,Concrete,14.24,6.04,244.83,Thunderstorm,Dusk,18.27,Severe,22.56,86.61,1371.441,1.255,0.9,0.45,0.95
SC00133,Rural,Asphalt,17.95,6.47,219.25,Rainy,Night_Dark,46.09,Severe,20.76,83.61,1.066,0.813,1.15,0.18,0.8
SC00134,Urban,Asphalt,15.21,3.47,137.41,Drizzle,Daylight,28.43,Severe,24.18,80.94,30281.306,0.974,1.0,0.18,0.8
SC00135,Urban,Asphalt,17.62,7.86,233.95,Thunderstorm,Dusk,24.4,Severe,26.6,89.32,2225.545,1.203,1.0,0.18,0.8
SC00136,Urban,Dirt,13.66,0.0,119.04,Mist,Night_Streetlights,30.31,Moderate,18.52,87.74,36.478,0.953,2.0,0.24,0.72
SC00137,Urban,Gravel,6.76,0.0,330.63,Thunderstorm,Night_Streetlights,27.38,Moderate,21.76,95.51,143.199,0.949,1.55,0.32,0.9
SC00138,Urban,Concrete,9.3,0.0,34.09,Clear,Daylight,35.62,Moderate,26.65,48.02,33462.931,0.639,0.9,0.45,0.95
SC00139,Rural,Mud,14.6,0.0,101.13,Cloudy,Daylight,51.21,Severe,26.99,64.09,35634.607,1.139,2.7025,0.12,0.62
SC00140,Rural,Concrete,4.78,3.05,257.99,Rainy,Night_Streetlights,55.5,Moderate,21.57,91.17,110.763,0.861,1.035,0.45,0.95
SC00141,Urban,Concrete,12.63,4.88,86.16,Mist,Daylight,17.79,Moderate,19.74,80.24,36266.279,0.896,0.9,0.45,0.95
SC00142,Rural,Gravel,5.72,0.96,112.19,Mist,Night_Streetlights,53.19,Moderate,21.45,83.86,53.308,1.197,1.7825,0.32,0.9
SC00143,Urban,Asphalt,12.21,5.35,164.15,Rainy,Night_Streetlights,25.06,Severe,21.42,82.65,214.489,0.943,1.0,0.18,0.8
SC00144,Urban,Asphalt,9.44,0.0,260.67,Rainy,Daylight,25.6,Moderate,17.46,90.48,26400.051,1.387,1.0,0.18,0.8
SC00145,Rural,Gravel,8.85,0.0,148.63,Foggy,Daylight,48.95,Moderate,18.01,91.58,21365.183,0.946,1.7825,0.32,0.9
SC00146,Urban,Mud,11.62,0.0,48.61,Clear,Night_Streetlights,34.28,Moderate,27.93,37.21,84.74,0.945,2.35,0.12,0.62
SC00147,Rural,Asphalt,16.53,0.0,77.2,Clear,Dusk,68.97,Severe,26.25,44.05,5014.57,0.727,1.15,0.18,0.8
SC00148,Rural,Concrete,11.11,0.0,77.49,Clear,Dusk,70.68,Severe,22.21,63.96,1283.779,1.056,1.035,0.45,0.95
SC00149,Urban,Mud,17.46,0.0,175.38,Drizzle,Night_Dark,17.31,Severe,22.49,72.4,4.408,0.857,2.35,0.12,0.62
SC00150,Urban,Mud,14.97,0.0,99.58,Drizzle,Night_Dark,23.06,Moderate,18.99,80.3,1.09,0.802,2.35,0.12,0.62
SC00151,Rural,Gravel,7.57,0.0,179.22,Drizzle,Night_Streetlights,62.61,Moderate,22.11,71.65,125.919,0.802,1.7825,0.32,0.9
SC00152,Urban,Asphalt,8.29,0.0,80.82,Clear,Daylight,29.54,Moderate,28.94,33.36,34894.298,0.931,1.0,0.18,0.8
SC00153,Urban,Asphalt,10.8,0.0,100.61,Cloudy,Daylight,29.75,Moderate,19.24,79.51,24149.713,0.938,1.0,0.18,0.8
SC00154,Urban,Asphalt,11.81,0.0,39.95,Clear,Night_Streetlights,33.15,Moderate,26.87,56.35,59.25,0.686,1.0,0.18,0.8
SC00155,Rural,Gravel,12.9,1.99,11.11,Clear,Daylight,58.66,Severe,26.55,53.97,19509.54,0.73,1.7825,0.32,0.9
SC00156,Urban,Concrete,6.29,0.0,60.88,Clear,Night_Streetlights,32.82,Moderate,26.63,51.27,32.893,0.804,0.9,0.45,0.95
SC00157,Rural,Gravel,13.43,0.0,38.67,Cloudy,Night_Streetlights,52.73,Moderate,18.12,85.75,194.817,0.638,1.7825,0.32,0.9
SC00158,Urban,Mud,13.69,0.0,95.08,Cloudy,Night_Streetlights,32.15,Severe,31.01,64.45,172.095,1.099,2.35,0.12,0.62
SC00159,Urban,Asphalt,12.33,3.54,215.66,Rainy,Dusk,29.74,Severe,22.84,82.59,309.369,0.765,1.0,0.18,0.8
SC00160,Urban,Asphalt,14.52,3.38,109.28,Drizzle,Dusk,41.09,Severe,23.81,72.59,3735.725,0.931,1.0,0.18,0.8
SC00161,Rural,Gravel,6.47,1.04,51.28,Clear,Daylight,38.54,Low,29.17,49.96,22392.912,0.669,1.7825,0.32,0.9
SC00162,Urban,Dirt,14.4,0.0,113.77,Drizzle,Daylight,33.57,Severe,23.34,77.79,24332.782,0.779,2.0,0.24,0.72
SC00163,Urban,Concrete,17.04,0.0,127.56,Cloudy,Dawn,35.99,Severe,23.08,67.14,6868.545,1.118,0.9,0.45,0.95
SC00164,Rural,Concrete,7.21,0.0,105.94,Cloudy,Daylight,56.65,Moderate,27.47,62.25,36930.318,1.043,1.035,0.45,0.95
SC00165,Urban,Dirt,6.99,2.67,374.19,Thunderstorm,Dusk,29.35,Moderate,26.13,77.26,3277.607,0.943,2.0,0.24,0.72
SC00166,Urban,Asphalt,7.73,0.0,153.27,Drizzle,Night_Dark,32.95,Moderate,21.85,87.87,1.295,1.226,1.0,0.18,0.8
SC00167,Rural,Asphalt,19.73,7.91,366.87,Thunderstorm,Daylight,37.71,Severe,27.12,87.74,39787.016,1.085,1.15,0.18,0.8
SC00168,Urban,Concrete,10.76,2.9,34.85,Clear,Dusk,40.83,Severe,32.07,49.16,2028.711,0.859,0.9,0.45,0.95
SC00169,Urban,Asphalt,11.54,0.0,17.46,Clear,Night_Dark,30.2,Moderate,25.14,61.87,1.79,0.91,1.0,0.18,0.8
SC00170,Urban,Concrete,12.2,0.0,124.8,Foggy,Night_Dark,33.63,Moderate,17.07,94.21,1.755,1.154,0.9,0.45,0.95
SC00171,Urban,Concrete,14.89,0.0,48.48,Clear,Dawn,38.88,Severe,25.53,62.23,2041.16,0.939,0.9,0.45,0.95
SC00172,Urban,Asphalt,12.47,0.0,81.58,Cloudy,Night_Streetlights,33.48,Moderate,16.01,68.36,17.637,0.891,1.0,0.18,0.8
SC00173,Rural,Asphalt,12.56,0.0,73.13,Clear,Night_Streetlights,42.67,Moderate,20.6,42.14,55.856,0.84,1.15,0.18,0.8
SC00174,Urban,Gravel,9.95,0.0,149.22,Cloudy,Daylight,27.57,Moderate,25.44,76.56,34896.196,1.072,1.55,0.32,0.9
SC00175,Urban,Gravel,5.58,0.74,82.85,Cloudy,Dusk,32.43,Moderate,26.58,68.68,4044.933,0.652,1.55,0.32,0.9
SC00176,Urban,Concrete,15.63,0.0,9.65,Clear,Night_Dark,22.21,Moderate,32.34,64.79,2.003,0.568,0.9,0.45,0.95
SC00177,Urban,Mud,13.51,6.25,246.57,Thunderstorm,Night_Streetlights,20.38,Severe,20.85,92.61,81.374,1.472,2.35,0.12,0.62
SC00178,Rural,Asphalt,13.15,0.0,85.67,Clear,Night_Dark,38.97,Moderate,25.81,62.08,1.316,0.973,1.15,0.18,0.8
SC00179,Urban,Mud,8.7,0.0,209.05,Rainy,Dawn,27.09,Moderate,25.6,86.75,4153.17,1.179,2.35,0.12,0.62
SC00180,Urban,Asphalt,6.12,1.48,181.97,Foggy,Night_Streetlights,32.69,Moderate,18.57,85.46,13.367,0.82,1.0,0.18,0.8
SC00181,Urban,Asphalt,10.32,0.0,31.18,Clear,Daylight,19.29,Moderate,24.82,39.6,32952.629,0.728,1.0,0.18,0.8
SC00182,Urban,Asphalt,15.9,0.0,143.88,Cloudy,Daylight,35.01,Severe,20.09,64.4,19078.565,0.766,1.0,0.18,0.8
SC00183,Urban,Concrete,10.64,1.62,63.57,Cloudy,Daylight,35.97,Moderate,24.57,58.91,17724.38,0.768,0.9,0.45,0.95
